"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0115118914113063,48684.2290848078,0.000375020022398166,4.26136417291152,0.649401817253734,0,1,1.59996581211217,1.09006058936419,1,0,4597.13344922321,0,0,1912.86176057516,1876.13245,0,4597.13351288036,4708.18271887099,5254.06920868284,0.010799157132867,0.362128522806722,0,0,-9999,5.70360820617796,0,6.92319777619843,0,12.6268059823764,6.29068292603008e-06,0.0376324068597703,0.0978836239134818,0.100427723358134,0.112987283180094,1785338.96285,1
"median",0.0106173052010126,47224.3434515674,0.000383460297459735,3.45467778385672,0.648921529995278,0,1,1.60002247583075,1.09012526843953,1,0,4571.73002859345,0,0,1742.81984165816,1839,0,4571.73003251787,4672.05801354442,5139.1893533504,0.0102413027391461,0.361489429039694,0,0,-9999,5.65359637041517,0,6.64343568999154,0,12.4984668086154,3.73237122709274e-06,0.0361947927599973,0.0961642630814599,0.0982423933949914,0.107891938833014,1782450.5,1
"2.5%PI",0.000690734009258449,35664.7737893572,8.32902089614369e-05,1.07480449817641,0.507089066709159,0,1,1.52142465831296,1.01113604364866,1,0,3817.27270532865,0,0,289.875341949611,1837,0,3817.27267552958,3819.70812493875,3862.84437183256,-0.000982374530895103,0.319490433274453,0,0,-9999,3.79209061639163,0,6.41996339125875,0,10.4850955595681,1.62575828094616e-07,0.00752991367182507,0.0596696679875825,0.0598318545788969,0.0605159876580711,86508.3,1
"97.5%PI",0.0277158116120263,70318.5264451272,0.000638381329972606,10.4428057263864,0.791835987059167,0,1,1.67773991862858,1.16816722611736,1,0,5521.85037689749,0,0,4000.6426718422,1999,0,5521.85033572288,5790.28554371955,7290.89062254885,0.0253697052412103,0.40930460453139,0,0,-9999,8.05535688314995,0,8.95320999264276,0,15.6321213402955,2.7949938476391e-05,0.0753256997584765,0.145643111614288,0.153546317945076,0.193519057785231,3484141.225,1
"5%PI",0.00136744589288719,37192.9937429851,0.000100361318663256,1.15054770435086,0.514004254657775,0,1,1.53485655210988,1.02402235553125,1,0,3925.03206069581,0,0,381.959412846594,1837,0,3925.03206076576,3948.51614246108,4025.38616406206,0.000602217944570827,0.32586158487268,0,0,-9999,4.06749828738175,0,6.42153830951013,0,10.7629054460471,3.24084095871201e-07,0.00955964241305812,0.0655575936507107,0.0657069337188186,0.0667108699801496,173301,1
"95%PI",0.0246932524387958,64895.075441927,0.000626665698911298,9.81499788061353,0.78460004064953,0,1,1.66552740469177,1.156195287822,1,0,5345.1809317281,0,0,3800.37987553769,1986,0,5345.18102174347,5585.13972867747,6873.85376802648,0.0228048889776034,0.401519979010378,0,0,-9999,7.51253875910277,0,8.36220204744259,0,14.9422630675655,2.11704239709751e-05,0.0699698468168071,0.135952424734029,0.142910637998715,0.176419792164159,3397711.5,1
"min",2.09905672818422e-06,27838.5977793036,6.50859426670789e-05,1.00010992512619,0.500010627205484,0,1,1.43601138831671,0.925712453084222,1,0,3186.3329234533,0,0,93.2399497047324,1836,0,3186.33296034147,3076.66034940019,2930.83793487199,-0.0113837529287929,0.279541628682352,0,0,-9999,2.58984972371312,0,6.41936514359561,0,9.25990567099987,1.07146086721191e-10,0.00290776753372289,0.0266005676469631,0.0258325244260369,0.0266498496750341,112,1
"max",0.0459340696758591,152826.575033516,0.000650547541378838,11.2151196838842,0.799993372987956,0,1,1.77721100574943,1.25055751338753,1,0,7057.34284140635,0,0,4822.41225798397,2030,0,7057.34325056626,7626.78387035481,10085.6440358833,0.0451200173863835,0.481916475776543,0,0,-9999,12.8408476340746,0,17.5654815524487,0,22.9568279161767,9.51643014747771e-05,0.119552323772185,0.232395903386341,0.245600073942194,0.343010878871676,3571900,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
