"","r_max","K","var_N","z","Pmsy","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2004","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2004","status2021","status2030","draw","save"
"mean",0.0108995622421646,65918.0982573808,0.000375645185931591,4.27719713210927,0.649325498643935,1,1.59972817416288,1.08995505258072,1,0.498562279742211,3997.12672665014,0,0,2258.86572482572,1899.1731,0,3997.1267771537,4672.53622485155,5185.16392442137,0.010155317367843,0.362301843170397,0,0,-9999,5.64322594902522,0,6.92703991539592,0,12.5702658644211,6.65274594962031e-06,0.0337754348307684,0.0641010626647517,0.0760053939106397,0.0852032415740695,2055340.3094,1
"median",0.00988946554018184,63480.4586526319,0.000384605995566276,3.45533339348333,0.648947133042384,1,1.59974618902912,1.08943342227959,1,0.498926832107827,3986.71669757459,0,0,2282.61908796103,1852,0,3986.71665891141,4632.41489488642,5064.81973202643,0.00963899843722582,0.361482961360849,0,0,-9999,5.60300222465218,0,6.64930105983655,0,12.4549095114846,3.89853581177724e-06,0.0330648513646292,0.0627202195208152,0.0729082716664053,0.0797019701844807,2048789,1
"2.5%PI",0.000623688204213977,40974.9918839862,8.31769393090524e-05,1.07440213223196,0.507051639299025,1,1.52126602126937,1.01298307007766,1,0.0250676386291161,3404.36847624194,0,0,533.807842858554,1839,0,3404.36847446602,3812.25419673714,3813.83853711656,-0.0014475364180384,0.3190410818982,0,0,-9999,3.74148463252596,0,6.41999412663494,0,10.4378370410261,1.80643402347014e-07,0.0114356055059037,0.0383422116220189,0.0402028103468278,0.0405284147420614,104566.95,1
"97.5%PI",0.0269110993762734,105251.065285112,0.00063761228351021,10.500679219381,0.792474411505973,1,1.67768290138491,1.16803539533775,1,0.972993809613399,4650.10230491637,0,0,4017.35188941224,2000,0,4650.10230459773,5753.58648028436,7175.8926245791,0.0244851011626307,0.409222070340921,0,0,-9999,7.83986465058412,0,8.96238631747585,0,15.526740914699,2.93025206636251e-05,0.0626609976210289,0.0963217117502069,0.128370027355505,0.160513573342285,4021285.3,1
"5%PI",0.00117743654921651,43362.1970299488,0.000100515155253654,1.14939923389973,0.51390131194028,1,1.53445069304306,1.02529529894889,1,0.0511686171637848,3492.84824011731,0,0,663.316217672363,1839,0,3492.84823937814,3932.76267110595,3970.7665688798,0.000160487309263102,0.325869031361692,0,0,-9999,4.04630021569595,0,6.42152730346474,0,10.7148233418227,3.71988739941131e-07,0.0133536664010963,0.041642710884205,0.0441665661167731,0.0451314475280934,203846.75,1
"95%PI",0.0241238556845346,96699.6812954323,0.000625188149280017,9.86941111632918,0.785250682010083,1,1.66576642908987,1.15614969867699,1,0.947837700799573,4533.23471653973,0,0,3849.9777990295,1990,0,4533.2347165164,5542.32029801108,6780.82650207225,0.021928526808559,0.401124248788281,0,0,-9999,7.37232090378144,0,8.37740885137754,0,14.8044022743549,2.2213211627351e-05,0.0575304043279925,0.0907719195906581,0.118389674026932,0.143684023780407,3918670.1,1
"min",6.04453962296248e-07,27333.3260913725,6.52348424965472e-05,1,0.500002111052163,1,1.45630220625891,0.912091821448254,1,0.000170226208865643,2870.47072560526,0,0,133.74582304787,1837,0,2870.58301023841,3075.01661873521,2669.82540646927,-0.0137949068312464,0.283040101412747,0,0,-9999,2.53310034944587,0,6.41936514352295,0,9.21557634696372,1.44648824233844e-10,0.00330478546786889,0.0163299916135398,0.0169104447286236,0.0158676707309179,171,1
"max",0.051602928112261,228475.75069074,0.000650590688803783,11.2152658267023,0.799994845828041,1,1.74929006072095,1.27644099254009,1,0.999996633967385,5366.31266395561,0,0,4806.86750793951,2030,0,5366.31266394687,7199.60461315397,10454.6022124446,0.0458025805639495,0.462277194042484,0,0,-9999,14.9615725974749,0,15.1940376833175,0,22.6567122128917,9.94777708836357e-05,0.101934575934855,0.145910941984954,0.23594247108887,0.329130316439112,4124059,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
