"","Year","B","A_xy","ln_A_xy_mu_sim","A_xy_mu_sim","ln_A_xy_var_sim","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1","1999",0,942.172451622637,6.84920798625661,955.521009690787,0.0261002524334379,0.0261002524334379,0.00150722038792532,0.00160508434494614,0.000701053932311825,0.00138859920058719,0.00131024321136953,0.000924279518453345,0.00189771767418231,0.000830131389477141,0.000827244865396632,0.00124159876805013,0.00148121602802913,0.00145392789192081,0.000376013569332233,0.000214227072025193,0.000142490042441194,-0.000362764642446282
"2","2000",0.666389583772008,1834.59295181187,7.51557365808874,1867.84790829796,0.0339418436394091,0.00150722038792532,0.0339418436394091,0.00108499905089107,0.00074601180188708,0.001325697993994,0.00109953616361949,0.00114554526381012,0.00166263127264489,0.000629400566108205,0.000839769785283543,0.000901281061940708,0.00171551877228103,0.00143008695778249,0.000129253825059427,-5.63811995668215e-05,0.00036713454512666,-1.31507357009049e-05
"3","2005",0.219374849366023,1173.28545870352,7.06936307094377,1192.78543477999,0.0293616223784422,0.00160508434494614,0.00108499905089107,0.0293616223784422,0.000709413914584385,0.00113775671980686,0.00105155300036335,0.000536178635582544,0.00146110738047106,0.000660767059877679,0.000623934994801183,0.00117065888332726,0.00126044853405873,0.00136259527687467,0.000155325250070138,0.000101312292605671,0.000286117949206815,-2.53699530915452e-05
"4","2006",0.428123353418036,1445.6461755495,7.27784324941924,1473.15403772942,0.0346411183726254,0.000701053932311825,0.00074601180188708,0.000709413914584385,0.0346411183726254,0.000865478103846703,0.000730260972092948,0.000985207047363909,0.00105534508814421,0.000456942398390009,0.000810463619452044,0.000743833598864251,0.00119320341912189,0.000920585511963643,-0.000134016444538662,0.000191741343590428,0.000598555061922151,-0.000163519149916726
"5","2007",0.849661672794731,2203.60514470779,7.6993742481064,2237.19386348793,0.0272149166545282,0.00138859920058719,0.001325697993994,0.00113775671980686,0.000865478103846703,0.0272149166545282,0.0010181727005383,0.000945918186089305,0.00149247324344878,0.000738629247156515,0.00113977537958566,0.00116055873983631,0.00149238768252719,0.00140311843925178,0.000175587617663805,0.00031365737920704,0.000403136220285479,-3.23309662303345e-05
"6","2008",0.713833140932412,1923.73034565371,7.56241790711088,1952.50590736527,0.0288895114151044,0.00131024321136953,0.00109953616361949,0.00105155300036335,0.000730260972092948,0.0010181727005383,0.0288895114151044,0.000848322163442539,0.00124076758517825,0.000628875648652714,0.000461772892242955,0.000901937345925997,0.00096155679865567,0.00117984811574372,0.000152784582327125,0.000312164379494813,0.000172604537173625,-7.36717663001864e-05
"7","2009",0.436477905082178,1457.77449399792,7.28643682879762,1498.50386957366,0.0515290243351687,0.000924279518453345,0.00114554526381012,0.000536178635582544,0.000985207047363909,0.000945918186089305,0.000848322163442539,0.0515290243351687,0.00133357157808418,0.00104854883596275,0.00237294719245329,0.000873667172339658,0.00179892060925319,0.00088209170656417,-0.000416006216988466,0.000270637914539461,0.00130922522813172,0.000597623535416812
"8","2010",0.52812578298803,1597.68999273955,7.37842691523719,1675.66505141993,0.0910362103245615,0.00189771767418231,0.00166263127264489,0.00146110738047106,0.00105534508814421,0.00149247324344878,0.00124076758517825,0.00133357157808418,0.0910362103245615,0.00101447049157934,0.00197673457948607,0.00159699279840331,0.00156578261885606,0.00169420376452416,0.000174230611786445,0.000300224090870669,0.000936148435058674,-0.000264951850308783
"9","2011",0.36363351644106,1355.35927249997,7.21125694694687,1387.3048261074,0.0477201401766907,0.000830131389477141,0.000629400566108205,0.000660767059877679,0.000456942398390009,0.000738629247156515,0.000628875648652714,0.00104854883596275,0.00101447049157934,0.0477201401766907,0.00103254494272531,0.000597784148915351,0.00091804963526395,0.000810761461866756,9.4826118693621e-05,0.000271052757442994,0.000418370253868641,7.76197749704738e-05
"10","2012",0.683733811137143,1866.69009453738,7.53326006133043,1935.7560375195,0.0700477894863177,0.000827244865396632,0.000839769785283543,0.000623934994801183,0.000810463619452044,0.00113977537958566,0.000461772892242955,0.00237294719245329,0.00197673457948607,0.00103254494272531,0.0700477894863177,0.00126929452637536,0.00187842558716757,0.000901284140999141,-0.00075699870243812,0.000100328041851,0.00174893960116896,0.00029525111185849
"11","2013",0.846505307812351,2196.66072791643,7.6961559236089,2237.59375655266,0.0339867458655531,0.00124159876805013,0.000901281061940708,0.00117065888332726,0.000743833598864251,0.00116055873983631,0.000901937345925997,0.000873667172339658,0.00159699279840331,0.000597784148915351,0.00126929452637536,0.0339867458655531,0.00122043922041219,0.00116209328861549,0.000144830944249866,0.000131985809367006,0.00032668814924964,-0.0001246072660123
"12","2014",0.495278778899015,1546.06319749837,7.34428680560831,1592.1553099124,0.0571319604679453,0.00148121602802913,0.00171551877228103,0.00126044853405873,0.00119320341912189,0.00149238768252719,0.00096155679865567,0.00179892060925319,0.00156578261885606,0.00091804963526395,0.00187842558716757,0.00122043922041219,0.0571319604679453,0.00140104604311381,-4.89450205884679e-05,0.000322400133149166,0.000925628496316609,-7.03947978670469e-05
"13","2015",0.252829724203364,1213.20154789034,7.10202065260625,1234.0653559927,0.0320928553618421,0.00145392789192081,0.00143008695778249,0.00136259527687467,0.000920585511963643,0.00140311843925178,0.00117984811574372,0.00088209170656417,0.00169420376452416,0.000810761461866756,0.000901284140999141,0.00116209328861549,0.00140104604311381,0.0320928553618421,0.000424284201587833,0.000454678404535861,0.000153842212505616,-0.000296076205921454
"14","2016",-0.00850101096703034,934.196981090135,6.83950592352954,954.396726943119,0.043169992133897,0.000376013569332233,0.000129253825059427,0.000155325250070138,-0.000134016444538662,0.000175587617663805,0.000152784582327125,-0.000416006216988466,0.000174230611786445,9.4826118693621e-05,-0.00075699870243812,0.000144830944249866,-4.89450205884679e-05,0.000424284201587833,0.043169992133897,-8.77061659866594e-05,-0.000498724312058559,-0.000124948455465501
"15","2017",0.489452474182342,1537.08155250623,7.3380016651247,1570.44446819993,0.0422151470929478,0.000214227072025193,-5.63811995668215e-05,0.000101312292605671,0.000191741343590428,0.00031365737920704,0.000312164379494813,0.000270637914539461,0.000300224090870669,0.000271052757442994,0.000100328041851,0.000131985809367006,0.000322400133149166,0.000454678404535861,-8.77061659866594e-05,0.0422151470929478,-3.36014169893613e-05,3.52537869817036e-06
"16","2018",0.823478676785081,2146.65695052981,7.67453881321838,2201.30475791967,0.0445075845983998,0.000142490042441194,0.00036713454512666,0.000286117949206815,0.000598555061922151,0.000403136220285479,0.000172604537173625,0.00130922522813172,0.000936148435058674,0.000418370253868641,0.00174893960116896,0.00032668814924964,0.000925628496316609,0.000153842212505616,-0.000498724312058559,-3.36014169893613e-05,0.0445075845983998,0.000444990640917578
"17","2019",0.292536676693558,1262.34326155351,7.14170089994068,1290.53233302333,0.0421649238636126,-0.000362764642446282,-1.31507357009049e-05,-2.53699530915452e-05,-0.000163519149916726,-3.23309662303345e-05,-7.36717663001864e-05,0.000597623535416812,-0.000264951850308783,7.76197749704738e-05,0.00029525111185849,-0.0001246072660123,-7.03947978670469e-05,-0.000296076205921454,-0.000124948455465501,3.52537869817036e-06,0.000444990640917578,0.0421649238636126
