"","r_max","K","var_N","z","Pmsy","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0304810672825668,372045.782136614,0.0358161724606307,3.26582988102531,0.606419973611133,1,1.61445832323623,1.09732159024584,1,0.413936591104138,4630.5825678953,0,0,404.600880153815,1881.51,0,4634.87185235726,5030.66852474673,7960.18175788024,0.0266475068719069,0.361202514352614,0,-9999,-0.234603250881326,0,6.92486160611884,0,6.69025835523751,0.00428911203488528,0.00493383925275727,0.0800904131332594,0.0923000701396624,0.161079667705253,91565.27,1
"median",0.021177467694506,54875.7489198496,0.0365989328303338,2.12467424072117,0.584945721761324,1,1.61080868969061,1.10257333372385,1,0.336823494057171,4987.04845174216,0,0,155.589137112039,1865,0,4987.04845182237,4843.98328876045,8265.84283647416,0.0310233607453548,0.346289946328358,0,-9999,-0.733138694434729,0,6.50189646394991,0,6.40750543352194,0.0016491332476879,0.00283529865513616,0.072583334387835,0.088271839275223,0.115757998977306,81444,1
"2.5%PI",0.0014849614421837,24553.8877854384,0.0136765735949248,1.08625838725159,0.508151317130542,1,1.53542845978845,1.01779397822482,1,0.0398628562688828,2735.8284003567,0,0,62.3881186340315,1844,0,2736.01722031934,2828.81812562799,2068.97061334253,-0.000639717649566163,0.260861031377937,0,-9999,-2.22559950272232,0,6.4254623470642,0,4.21260576312151,2.89694336853456e-05,8.50169837391109e-05,0.00111203104412849,0.00122372471578456,0.0012430126799324,1152,1
"97.5%PI",0.0716574202080374,4484630.60285404,0.0555890153572967,10.4206550978757,0.791282862026128,1,1.68855676433377,1.16305675137751,1,0.905795851617586,5957.89125508978,0,0,2054.62365368654,1981.775,0,5957.88949021129,8687.70337167091,16983.4668850875,0.0447139312781703,0.529861353276832,0,-9999,3.60702492486984,0,9.00022096156477,0,10.4494025985149,0.0148077325786631,0.019755794661086,0.239403721210494,0.353821905825567,0.604314836631906,167944,1
"5%PI",0.00365611501794774,24553.8877854384,0.0148068006897879,1.10142329694659,0.509548692731187,1,1.5425990746995,1.03430296415147,1,0.0798534346628003,2735.8284003567,0,0,62.3881186340315,1844,0,2736.01722031934,2857.53583734293,2068.97061334253,0.00185917073333723,0.284277416646933,0,-9999,-2.22559950272232,0,6.42691139637426,0,4.21260576312151,5.68082316615141e-05,0.00023086676750733,0.00248551401168771,0.00238881609763593,0.00235739408381833,7780.15,1
"95%PI",0.0621392959404038,2297816.95190049,0.0532851107557199,8.46214198983966,0.76676627757377,1,1.68855676433377,1.16305675137751,1,0.876751028932631,5880.34320937004,0,0,1878.89238360178,1970.1,0,5878.29210601884,8687.70337167091,14838.2786857353,0.0407433221856709,0.529861353276832,0,-9999,2.98134268939879,0,8.42138540432947,0,9.78467483416254,0.0148077325786631,0.0134364041011114,0.239403721210494,0.353821905825567,0.604314836631906,167944,1
"min",0.000470242926385254,19152.5500142075,0.00836217380508089,1.01964179596662,0.501886317622848,1,1.51298935726904,1.01600651564266,1,0.00647011213004589,2735.8284003567,0,0,8.6791269735796,1841,0,2736.01722031934,2516.42036073176,990.816901705377,-0.0163797076248527,0.256619460294311,0,-9999,-2.22559950272232,0,6.41940826012634,0,4.21260576312151,1.03214816607278e-05,8.50169837391109e-05,0.00111203104412849,0.00122372471578456,0.0012430126799324,1025,1
"max",0.0963122023106553,4484630.60285404,0.0704758837842806,11.050729004189,0.79832033617422,1,1.69558729715365,1.17759423833247,1,0.980972039280459,7129.40040293615,0,0,2191.80144695474,1990,0,7114.23924155631,8687.70337167091,31790.2635812519,0.056803577919027,0.529861353276832,0,-9999,5.05685510845619,0,9.94483498607547,0,11.4812832364404,0.0148077325786631,0.0993604554638545,0.272703058953683,0.353821905825567,0.873745384159228,167944,1
"n",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
