"","r_max","K","var_N","z","catch_multiplier_1","catch_multiplier_2","catch_parameter_1","catch_parameter_2","sample.N.obs","add_CV","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.0929907107817614,25403.2469574759,0,2.39,1.01842920551819,1.7112352783417,0,0.416899331867695,14941.0069258076,0,459.273729745711,1957.986,0,14941.0144573802,18776.1026084151,13013.2304686265,23281.666622522,25120.5486014712,0.0922037278852055,0.0561822159687039,0.0542301913126962,0.522719332209253,0,-9999,41.5659624026303,0,17.507237818296,0,59.0732002209263,2.98839513289769e-26,0.0176981426453398,0.589089832854499,0.741094344061287,0.512608957113755,0.918493543203614,0.989491284894995,48777.491,1
"median",0.0954141160880681,25206.8848699283,0,2.39,1.01847012647457,1.71311425576914,0,0.371170785976574,14858.29027195,0,356.463785616699,1958,0,14858.6139628772,18783.59811809,12917.9716095948,23302.1847832768,25037.9371184899,0.0948626271780796,0.0570065467926291,0.0547540424346308,0.522459546675505,0,-9999,41.475640452685,0,17.2810207704704,0,58.7780934102905,2.97165952414537e-26,0.0141959724821724,0.58732768489483,0.743387247646054,0.509325353695539,0.930426154774717,0.995321671663422,48630.5,1
"2.5%PI",0.0550672474098974,23624.9275382084,0,2.39,1.01296180967614,1.56626219916468,0,0.0190342715883162,13256.4428484038,0,196.931969073784,1926,0,13256.4384254435,17106.2075114348,11242.0291722502,22003.7848123291,23597.8196091247,0.0531613081256028,0.0367568487433914,0.0249951146669156,0.478483682069898,0,-9999,40.8813626154181,0,16.6091028993223,0,58.0083972958158,1.49722619088258e-27,0.0081514066108957,0.514995920621324,0.631743834612503,0.444987497298837,0.793395955415046,0.938744589028546,2606.925,1
"97.5%PI",0.116854730535054,28390.1633240443,0,2.39,1.02402790879537,1.85505434076543,0,0.955077504797373,16916.7427905311,0,1295.6488355852,1968,0,16916.7430219371,20408.5905564921,15324.5165669298,24359.4427921315,27018.3882952608,0.116403029714084,0.0712730871593693,0.0821056221305527,0.570291371054986,0,-9999,42.7698493490797,0,19.6116615644401,0,61.7662049425688,6.41613068298312e-26,0.046289145039229,0.672696205015564,0.832280660932242,0.58978049919497,0.972095710420148,0.99912834596002,95526.725,1
"5%PI",0.0608881956510944,23732.4669044975,0,2.39,1.01383878365201,1.59143214759599,0,0.0331415242166258,13525.0321926316,0,207.098278146148,1926,0,13525.0324850192,17433.0786378341,11446.8646029089,22274.0679218111,23697.2095499283,0.0594027991573585,0.0403527768142076,0.0289053765429339,0.484786847416696,0,-9999,40.9423008126173,0,16.6710350930612,0,58.0623724606828,2.94391571102594e-27,0.00856571619599602,0.524230408344248,0.650454351205071,0.456165453559786,0.822385799099688,0.959919451000908,5034.75,1
"95%PI",0.115360662233434,27726.6350142756,0,2.39,1.0228931763281,1.8293345676467,0,0.899415358214173,16551.4579817012,0,1083.64355376954,1968,0,16551.491148181,20159.5185963866,14792.4387478294,24181.5112357162,26706.6897323124,0.114966196656761,0.068973437040793,0.079222940054082,0.560378170792002,0,-9999,42.5650262435584,0,19.0186742419473,0,61.0900966242138,6.07899851655892e-26,0.040049949392298,0.656170709129675,0.820115585767388,0.573751466284142,0.969688761725048,0.998993757099087,92873.15,1
"min",0.0408599463896826,23252.042096239,0,2.39,1.0103268710391,1.49667832773121,0,0.000671891961246729,12286.2448149826,0,168.940933228797,1926,0,12286.2511361745,16177.7839547967,10483.9622606781,20008.7819961939,23235.1222513469,0.0385055389456894,0.0276174821953477,0.0182203439512703,0.451765062460594,0,-9999,40.6107681804391,0,16.5218880885073,0,57.8342662859158,1.90530310268767e-28,0.00705748287190149,0.470619918461162,0.564103883148521,0.411280797390775,0.714092725454994,0.872094872521414,187,1
"max",0.117997675176244,31281.8714716678,0,2.39,1.02687356154763,2.03244604358818,0,0.999424926238135,18021.1117919534,0,2089.1453471807,1968,0,18021.117152034,21610.0445739951,16371.6138704041,25112.5854421154,28106.3290856843,0.11756817332483,0.0758814013157498,0.091936969852917,0.607802725798204,0,-9999,43.9981063510632,0,23.1077320553398,0,63.8277414988887,7.63655153815695e-26,0.0714805379570391,0.724450111513933,0.867144773911995,0.643754001295739,0.980525096336026,0.99943337496411,98070,1
"n",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
