"","N_1830","N_1831","N_1832","N_1833","N_1834","N_1835","N_1836","N_1837","N_1838","N_1839","N_1840","N_1841","N_1842","N_1843","N_1844","N_1845","N_1846","N_1847","N_1848","N_1849","N_1850","N_1851","N_1852","N_1853","N_1854","N_1855","N_1856","N_1857","N_1858","N_1859","N_1860","N_1861","N_1862","N_1863","N_1864","N_1865","N_1866","N_1867","N_1868","N_1869","N_1870","N_1871","N_1872","N_1873","N_1874","N_1875","N_1876","N_1877","N_1878","N_1879","N_1880","N_1881","N_1882","N_1883","N_1884","N_1885","N_1886","N_1887","N_1888","N_1889","N_1890","N_1891","N_1892","N_1893","N_1894","N_1895","N_1896","N_1897","N_1898","N_1899","N_1900","N_1901","N_1902","N_1903","N_1904","N_1905","N_1906","N_1907","N_1908","N_1909","N_1910","N_1911","N_1912","N_1913","N_1914","N_1915","N_1916","N_1917","N_1918","N_1919","N_1920","N_1921","N_1922","N_1923","N_1924","N_1925","N_1926","N_1927","N_1928","N_1929","N_1930","N_1931","N_1932","N_1933","N_1934","N_1935","N_1936","N_1937","N_1938","N_1939","N_1940","N_1941","N_1942","N_1943","N_1944","N_1945","N_1946","N_1947","N_1948","N_1949","N_1950","N_1951","N_1952","N_1953","N_1954","N_1955","N_1956","N_1957","N_1958","N_1959","N_1960","N_1961","N_1962","N_1963","N_1964","N_1965","N_1966","N_1967","N_1968","N_1969","N_1970","N_1971","N_1972","N_1973","N_1974","N_1975","N_1976","N_1977","N_1978","N_1979","N_1980","N_1981","N_1982","N_1983","N_1984","N_1985","N_1986","N_1987","N_1988","N_1989","N_1990","N_1991","N_1992","N_1993","N_1994","N_1995","N_1996","N_1997","N_1998","N_1999","N_2000","N_2001","N_2002","N_2003","N_2004","N_2005","N_2006","N_2007","N_2008","N_2009","N_2010","N_2011","N_2012","N_2013","N_2014","N_2015","N_2016","N_2017","N_2018","N_2019","N_2020","N_2021","N_2022","N_2023","N_2024","N_2025","N_2026","N_2027","N_2028","N_2029","N_2030"
"mean",28194.396562355,27718.9255551596,27344.2641351375,27043.9631302275,26800.0807721316,26599.9275256749,26434.2383547403,26296.0774244355,26180.1474250607,26082.3357531835,25999.4060160183,25923.9862304687,25859.5905148639,25804.3937876617,25756.9106203173,25715.9240153411,25680.4310734784,25649.6010284903,25622.742481681,25599.2775754477,25578.7214655284,25565.4619075227,25553.603912739,25542.9834604682,25533.4571583181,25524.8994896077,25517.2004520683,25510.2635268844,25504.0039281263,25498.347091193,25493.2273656798,25457.5840161756,25427.1976451346,25401.1973734306,25378.8710834825,25359.6336085459,25343.0019891246,25328.576036719,25316.0229384601,25305.0649748691,25295.4696603954,25318.044653357,25336.9028974175,25352.6683241395,25365.8594173116,25376.9065663352,25386.1668477244,25393.936490163,25400.4613099689,25405.9454017156,25410.5583487692,25414.4411903208,25417.7113508904,25420.4667084574,25422.7889499987,25424.7463389646,25426.395998253,25427.7857944047,25428.9558937391,25429.9400486387,25430.7666618188,25431.4596678589,25432.0392642253,25432.5225182351,25432.9238716639,25351.0380119625,25364.0092984135,25374.8337018569,25383.8801687488,25391.4526990641,25397.8018004946,25403.1339948826,25119.1450225133,24877.8813028301,24959.4649780151,24556.772776936,24099.783035399,24038.6928240161,22943.8971710029,21202.695534956,18322.1632544553,12404.3854777216,7359.86085428618,4994.0088070148,4349.40151989403,3490.38478362408,2003.7237551574,1656.39268497899,1609.64594182806,1550.61867094373,1504.66806780497,1463.81476737815,1514.07931106866,1207.47739681305,1108.27670453822,864.606798788818,681.571409103745,733.336368186476,796.903125270417,846.879386323781,868.79234282818,835.63739434225,890.064809038769,944.339853941387,892.531333850925,912.352042964814,943.120728813936,918.61889171345,752.308758472611,817.224370454861,885.966729020496,926.304369042475,993.707411943185,1080.47552079833,1171.08076313944,1212.93058836793,1077.32542619184,1141.20135601368,1205.82672428032,1263.13932258313,1290.08148706439,693.136735685566,706.727738332146,732.673363615454,652.932431977283,663.571221241742,622.094334557065,504.369093309086,483.671135563317,506.713614226712,532.667395090726,548.54813786687,579.905301321921,602.67949715188,639.500718809077,691.642223579241,695.309492659553,751.984121621997,621.029512375174,670.262851691637,723.6208127673,781.464656824657,844.188383919504,910.184663303483,983.810026385213,1063.70776312242,1150.43428630841,1244.59672158172,1346.85753813523,1457.93957178465,1578.63146047824,1709.79350804336,1852.36398507273,2007.36586532538,2175.91398045476,2359.22255337513,2558.61303855774,2775.5221525291,3011.50991514605,3268.26743560319,3547.62405832133,3851.5533220537,4182.17696679893,4541.76592988489,4932.73688353076,5357.64235665717,5819.15182776898,6320.02035106833,6863.04027584634,7450.97046305671,8086.43618026361,8771.79176961733,9508.93762633159,10299.0836778693,11142.4544811934,12037.9377372593,12982.6901841118,13971.733843913,14997.6011908021,16050.1160137958,17116.4177794873,18181.3352398287,19228.1724966825,20239.8803470609,21200.4644585859,22096.3759213255,22917.5963691764,23658.2002835499,24316.3272481926,24893.6576543894,25394.5877343777,25825.3167224115,26193.0101859234,26505.1298620141,26768.9551775111,26991.2797593312,27178.2472165936,27335.2871631162,27467.1173129032,27577.7851884792,27670.7306021455
"median",27764.0757289544,27273.6655826811,26898.1770297819,26599.5782781725,26364.4426529004,26175.7632282128,26018.2884559065,25892.9419448589,25794.3835008449,25708.3777220332,25635.2721232893,25571.7884316928,25517.0130673653,25471.2290071895,25431.033816544,25397.9093141064,25371.6072144362,25348.9771559231,25329.4654111263,25314.3046917531,25302.4289515212,25296.7466996828,25292.9811357662,25288.9474159974,25283.5007441886,25276.826774721,25272.929443454,25270.7234029445,25269.0924855875,25267.134133553,25266.2916200961,25233.3881076057,25205.8186346436,25183.8068024669,25164.4636117546,25147.422035012,25133.8640875607,25121.5726907203,25111.7666901765,25104.4890830057,25096.929338884,25119.6424998833,25140.674496617,25158.2399009762,25172.9601434958,25185.3296225375,25195.6513479593,25204.6946407899,25212.6848033796,25219.5522804818,25224.3945505553,25228.5496654696,25233.4542354762,25237.7631343335,25240.9299435144,25243.1534646211,25245.128811638,25247.1740864174,25248.7618371547,25249.9491489316,25250.8383956977,25251.4719673302,25251.850550028,25252.2432575994,25252.6893727652,25170.8999288964,25184.5068450585,25195.2008773053,25204.33809316,25212.9608320723,25219.9003137685,25225.7222449012,24940.5343190024,24700.1951203669,24785.9956502419,24383.0362020964,23928.4011957708,23875.9622385882,22789.045387459,21051.7596342611,18186.6585253755,12288.3126311498,7263.69733738845,4908.46609123466,4271.68309020663,3418.67425198632,1936.58600358233,1590.98938069932,1545.8811921294,1487.53330311397,1442.75743555674,1402.77237588365,1453.6823529031,1147.41564720021,1048.26685286582,804.385054485672,620.891757483792,671.642608626933,734.378349600499,783.586282877121,804.82311050525,771.028384302834,824.790454465063,878.184965594976,825.574993527551,844.60687487118,874.447967653593,849.092735105306,681.916063172756,745.556269640472,813.226669059758,852.495768362315,918.705659103785,1004.34508819017,1094.14456201202,1134.99961823398,998.420488379944,1061.19373973052,1124.3478776188,1180.60684092872,1205.96424977814,607.709965292508,618.60513375608,641.627503090658,558.655620046284,565.94812634657,520.8347267565,399.491039295002,374.829340495121,393.414767265223,414.817267891027,426.246415229392,452.885996937949,470.681421666965,502.060478343713,549.206446881959,547.200254291562,598.116328079372,461.526693128039,504.553587641675,551.713689006136,602.937351676748,659.492678759814,719.740399996512,786.900481312964,859.87050979555,940.185407983617,1027.83920311396,1124.29778332697,1229.05485443732,1344.08330503864,1469.48848147938,1606.5938732865,1756.23999029332,1918.40206311185,2097.57496889533,2293.96613361484,2508.09160220144,2741.89775980874,2998.36078770308,3277.12351345269,3581.60243908602,3916.50560582126,4280.0748272253,4674.72709457857,5109.01443173483,5580.064441017,6091.05799242394,6647.35249368811,7256.311359105,7909.50985434114,8607.86513314767,9363.91121861085,10173.5123181621,11043.0071850149,11964.3992617622,12928.3668239035,13924.6331936783,14963.9707611214,16018.7317771164,17089.6404869739,18163.1452798906,19227.5197214988,20259.2631001732,21242.7107281769,22153.3770044785,22981.0773573668,23714.1202049592,24361.3358880146,24923.5005018892,25416.0683701066,25834.2441742604,26183.1576872784,26474.7818752734,26716.9314608077,26924.4562127876,27097.2922868837,27231.9088592624,27349.2326974119,27444.2641830305,27516.7662218659
"2.5%PI",25336.7509521548,25038.2635585694,24820.9900871677,24649.5873541382,24526.3821338331,24421.1676689313,24341.3617297624,24275.4217623122,24222.1958795521,24176.3487286192,24140.9857506317,24107.1222406107,24081.5902990479,24060.3438969922,24043.0508874213,24031.1792620702,24019.3633035326,24011.5284192599,24005.2121918252,23997.0665452495,23990.6671760836,23990.637232562,23990.9423329839,23991.750473127,23991.967541103,23993.0870335842,23992.7347138248,23992.8850391058,23992.5425459126,23992.1385249567,23991.8085428982,23961.5685095429,23936.9665760016,23918.0106598485,23902.7395347641,23890.8583277028,23880.2913850231,23873.0605430769,23866.9753274235,23861.9944353222,23858.2324654741,23884.543745866,23905.6707393083,23923.0280992469,23937.125421322,23948.4422466613,23957.3857999387,23964.4328848626,23969.1948536638,23973.5501064007,23977.8703642735,23981.2211752532,23982.9948445829,23984.0984093898,23984.8969332577,23985.8514088022,23986.9529812969,23987.6788233503,23988.4306008057,23989.029662695,23989.3013968641,23989.4998106591,23989.7810929367,23990.0809076344,23990.1832087921,23910.9296900068,23926.7343832955,23940.1485812002,23950.8290687123,23959.349533319,23966.1461613997,23971.5687424593,23689.9924844468,23464.847948611,23568.8403286781,23184.4001279526,22753.2289651026,22737.7670548655,21681.610847391,20058.9929533484,17315.5422560577,11578.0753512955,6710.87603431721,4453.27969659036,3877.31283794464,3082.18870050106,1644.67843569907,1318.22753181795,1287.04522497374,1243.67885257787,1213.80862710022,1189.07556112333,1256.81889974211,971.130513651833,884.319242239777,647.304078928796,463.984367429742,510.909930146374,570.471034815289,617.592124790801,637.653175233339,602.919705225702,654.881643190577,707.679774158173,655.733719245558,674.073192754369,703.723133814206,678.754102650402,511.278608861786,570.878688027813,635.366598988059,672.744035343066,737.91584307564,823.772406008922,915.571546051803,961.074593956792,830.784338993353,896.986812441317,965.804638883748,1029.379264562,1064.61388170672,477.691308141304,487.537175820221,509.659791958801,426.4771234352,431.406832041354,383.845222268076,258.371080108153,226.227296914204,236.155014844608,248.280627952976,249.702213284442,265.451812203007,271.814434035145,291.203264296001,325.005238425931,309.684585364546,345.618894672369,193.093992631787,215.544479059986,240.605086615758,268.517464359575,299.704819112339,332.597517904525,371.138625922368,414.420663280928,462.675101548224,516.187110230716,575.793062287175,641.834358979237,715.917222462054,799.139056264011,890.252162618366,992.58756390756,1106.15224438907,1234.14781050105,1376.35677312025,1535.47940008955,1712.79389104082,1909.99932804559,2130.25455992576,2371.93900041567,2642.3679318231,2949.04343252587,3286.9427422982,3659.40389237949,4072.19344928898,4526.88015109932,5030.3554624037,5584.62871682212,6188.83236668836,6861.97740555372,7597.0983654307,8400.39783529497,9269.65669537015,10192.4247747325,11185.96590351,12235.9013966667,13287.1489195331,14351.7273708663,15405.8193559827,16434.7686574753,17427.8998294715,18367.635119195,19262.7034544831,20126.3205941502,20947.0010755895,21719.3933933846,22479.8451774987,23204.5890390994,23864.0118575096,24354.0373607413,24682.9889667541,24883.4485049347,25020.0373186859,25111.191711935,25185.1699985012,25233.1530475899,25259.7573733697,25279.9074232476,25295.6748061261
"97.5%PI",33503.7275886496,32917.1633017636,32427.7447820019,31995.3457196268,31619.4749747462,31292.7304775331,30979.4291778066,30725.8020637975,30512.2076357939,30290.3007029384,30080.3926484331,29921.6772086092,29769.4870487567,29620.4273119956,29489.9967747691,29367.4042847427,29265.1283524753,29154.3143779801,29051.6916334779,28957.7703465335,28871.3790518587,28810.965183965,28741.3859388876,28669.2712175266,28616.4853917524,28573.3503169548,28526.7988550083,28479.9202299855,28444.8960889166,28405.4756891531,28378.0567313865,28314.8621906906,28262.8837917307,28212.9858962448,28156.6569148667,28105.3587069085,28064.7353218945,28025.6361788761,27989.1647676456,27955.2089262708,27930.5795916714,27936.2999587554,27948.6852370555,27943.0682741875,27944.3871707364,27939.8913864562,27943.8838302846,27940.8305493607,27944.3417846742,27943.7243511132,27942.7193608667,27938.529123076,27937.0873867857,27939.5183136937,27941.6662888951,27943.5424538508,27938.3056521781,27938.1209250871,27940.1558758618,27942.032282216,27943.7624544304,27945.3528914144,27946.7339528394,27948.0060712727,27946.8783735935,27861.8472580742,27870.7289044543,27878.7536987686,27884.2013706762,27890.9954999484,27897.1859923047,27902.1603709964,27613.4590523271,27353.4936018779,27397.531145292,26968.480171118,26458.0664367679,26316.0065953379,25142.9338137607,23238.9795983517,20131.91134873,13910.3569371111,8574.95359958197,6023.46456882829,5260.00948669476,4299.21462701768,2733.54354461012,2353.08629472335,2288.33258133117,2208.43359305764,2150.49669560211,2091.99080704043,2129.01483430688,1807.58414445395,1699.84125866861,1457.45542182236,1279.21746823055,1341.45200747713,1413.66645584577,1471.55774041082,1499.5691118366,1473.2027694491,1535.53840464433,1595.55094389558,1547.07937003155,1573.41504572294,1610.37523184171,1591.21596824899,1431.57952906236,1509.36498089725,1590.3256324178,1641.73101319893,1719.51473843487,1814.8211696755,1909.7272380835,1951.71135446961,1814.84575810574,1882.07804835888,1949.96321636568,2009.34218183188,2035.58323626523,1436.33234085455,1468.82719362523,1516.41375922358,1458.19936223133,1492.40767072542,1478.15432334595,1391.58342781252,1407.79788202003,1470.6260779193,1535.34538037081,1591.26904266635,1664.30993222554,1729.34391903475,1812.44166643016,1910.96858987484,1962.59503838942,2068.65975655085,1988.30202162619,2098.13449109284,2210.25259382103,2330.32767081572,2462.2040625499,2603.39834220992,2746.71106460151,2897.84677295235,3057.22796480711,3225.1967265628,3400.05052377866,3597.20215840752,3801.42337808518,4017.06217701048,4241.22321465851,4474.3755685331,4709.78264181876,4973.96928498418,5239.61707860852,5539.36306987869,5845.65767297463,6154.54037195368,6497.24855448075,6844.43421566838,7211.32168182208,7594.18323264535,8016.51719936965,8439.60018839768,8895.1078269666,9369.15993727368,9868.22099793723,10394.5570989663,10959.0283222833,11568.1852397359,12194.3187488334,12864.2570648385,13563.2727917798,14295.6986828916,15093.7536435659,15978.6328634824,16897.3557918718,17896.1076019724,18950.0100624127,20015.4341954758,21033.1057279486,22007.8586643964,22921.1039805304,23751.2544374548,24489.1680789826,25181.8173613377,25794.7810959336,26337.2112809939,26857.8729505622,27363.4465602703,27850.4878550368,28300.3957485335,28722.8167109849,29136.1323138949,29498.1383404291,29852.2682060165,30194.979203928,30513.0425476355,30821.9691366649
"5%PI",25582.457694478,25259.1462849992,25015.7074977254,24830.7958876582,24683.7541041362,24562.5927963459,24463.0910640293,24387.4019370636,24326.3241745833,24277.0756057986,24237.1386800627,24200.9106661517,24170.578855382,24144.19977336,24123.9424837903,24109.2540914,24097.1263550256,24088.0721417422,24079.8477979243,24072.9399593206,24067.4755011632,24068.7669496672,24067.8938666654,24067.473568021,24068.8505206442,24069.4402901938,24070.0774972905,24069.9100356694,24070.2578211406,24070.2192832468,24070.5217800304,24039.9743741558,24015.7883795091,23997.357251831,23982.1372987056,23969.8309990028,23960.3917017278,23953.0022780754,23946.8699917118,23942.0440422727,23938.3482035767,23965.6207407032,23986.6429684044,24004.114792359,24017.9764094357,24029.0236008202,24038.0689078268,24044.8220984309,24050.5361454643,24054.7417165131,24057.9634279538,24060.3331615119,24062.5468630283,24064.1141904498,24065.1883951346,24066.1177647344,24066.9971400382,24067.6817977872,24068.2347369484,24068.6745108175,24069.0239890022,24069.2856670913,24069.5342496929,24069.7055722759,24069.8416371559,23989.9293014246,24006.7671964364,24020.2956294112,24030.6622298843,24038.9979249353,24045.607834961,24050.8968315093,23771.8799557429,23545.290504614,23649.6747580885,23263.4321337883,22833.8077793406,22816.9616606132,21761.7530849629,20122.2711815479,17367.9469188488,11625.5326083128,6755.93677456148,4494.95321539819,3914.79879390311,3114.06114545528,1672.98534078212,1344.80606282992,1311.57849408401,1266.80537251094,1235.07412230406,1208.51660604998,1273.36045258887,982.780942403331,892.75422503447,653.848964456594,470.581572504468,517.722221942098,577.443475491376,624.59714522176,644.679908351727,610.025053406661,661.998927179297,714.944906045965,662.874980791259,681.27645355315,710.894413252669,685.980005156954,518.586641067199,578.280906129911,642.916818795693,680.508703633582,745.710825498014,831.676373724132,923.496021269142,968.731795727413,837.873979288562,903.983763669135,972.478833025735,1035.58599180698,1070.49978842363,483.052878441084,492.866405765373,515.065892810769,431.789207847684,436.793516437757,389.316067342597,263.845547499653,232.198956132843,242.6548233067,255.185556590088,257.099110775532,273.540738814331,280.570984020106,300.455258605034,334.892935045477,320.228247346038,357.000025239634,205.59771821519,229.147164731751,255.440982449448,284.75395448197,317.422016955569,351.697406316459,392.022445116093,436.84722363819,486.892255258394,542.862772095601,604.989279709891,674.032376201097,750.716792284685,836.491110967432,931.733898640889,1038.62133830249,1156.74549477338,1289.54628556216,1436.39161835789,1601.03917511586,1783.32466466981,1986.58386762663,2213.21886904846,2463.4483501956,2741.46945982947,3050.37030898699,3395.4013967835,3779.90328263468,4203.23947264164,4669.75687549942,5192.51071023355,5761.79139715264,6390.9951293823,7081.4640302196,7832.36395709891,8649.57630607786,9521.88368797449,10461.4439421696,11449.9095780012,12476.5236218602,13530.990774731,14609.616767707,15674.798479901,16721.5082071315,17724.9008555357,18680.3078081119,19603.3653064532,20486.0412957535,21329.3389846355,22131.1321611902,22890.715604225,23585.8299627382,24152.7693830915,24573.2838962696,24860.9882627587,25082.120220984,25218.9876166964,25336.484247179,25402.6174776733,25450.8362354745,25480.3837984946,25509.4166537429,25528.0397987298
"95%PI",32183.7712123669,31582.0465689058,31110.6970038972,30682.5141067594,30326.5883541222,30016.3290813671,29737.7761797149,29498.3314430073,29299.4198485668,29123.9062077093,28967.2509811296,28816.4992553125,28679.0463954156,28564.2294401984,28461.4569929985,28362.3364207961,28288.9137999339,28220.8815732273,28142.1373641859,28078.5156356558,28019.3074683513,27970.3665674877,27932.073425569,27890.6342642029,27852.5384797989,27827.203772345,27798.3175403966,27769.7628042091,27745.6030199902,27726.2649980446,27708.1432363948,27659.4640023244,27614.8949099586,27572.0618857044,27533.503311154,27494.947124177,27461.389369849,27430.5194099957,27402.1663827372,27373.6284062308,27347.2590899959,27355.2920640518,27369.1498713131,27379.6336826293,27387.537458509,27395.3722007584,27400.9516488204,27406.1439819364,27410.9825196964,27416.505661004,27420.2243760185,27425.3586005591,27429.2839504544,27433.0629465806,27436.8087781821,27440.6421931407,27444.0557951693,27446.9092168443,27449.416239647,27450.4784447572,27451.232589869,27452.9919374271,27454.6006809555,27456.0355181613,27456.8466650741,27375.1592279858,27384.7785021184,27391.6408987945,27397.3556318186,27402.6528767698,27408.790156922,27414.59102401,27134.244736172,26870.0519201589,26919.8060341441,26489.0459878949,25987.7707006826,25855.2679540734,24693.0414714374,22825.0726209992,19766.4657849806,13594.5531812856,8306.24432561527,5786.18486339328,5044.98923489475,4100.22673456559,2546.41426574734,2173.38832413132,2110.51365059611,2035.2852387779,1974.38899092068,1917.63360050351,1954.63250404007,1631.07937219679,1524.17428903186,1272.45955402586,1091.0878818156,1150.83837320758,1221.26271520224,1276.3851598319,1302.52121928756,1273.61125324053,1333.15621132265,1391.26630684454,1342.46315457507,1366.68638573559,1401.50716633912,1379.61393201635,1217.67251558737,1292.26175542344,1368.50405870793,1415.08306486414,1488.38550745593,1578.8124471893,1670.83851775833,1712.51003496348,1575.94743316711,1641.69961641401,1704.97723624938,1761.06430889367,1784.97656268484,1181.11405603748,1207.24005265594,1246.23556176851,1179.73138517824,1208.71041638871,1185.30778128706,1087.6309823499,1092.42986214663,1143.43994861071,1197.3435759997,1243.23529986992,1305.24106444637,1360.96197009208,1433.41916207057,1520.24774148141,1561.12486502991,1656.80910452213,1564.89835748707,1662.35862742169,1766.57297505482,1877.10559203687,1995.11669672615,2117.25755947053,2243.93956899187,2381.56226895261,2526.65872945102,2678.19286359512,2842.67434813727,3015.54171773759,3198.33281711271,3397.23207842775,3600.97602667931,3817.88028273097,4054.53401759741,4306.97283656398,4566.37714726216,4846.65226874252,5140.22910779699,5450.17779627559,5787.69661856607,6143.62121469871,6526.00094628716,6913.80531429978,7334.86299763119,7771.97686608497,8243.56739260752,8736.41545306719,9255.82822615089,9806.68584878755,10404.105795614,11023.2170968103,11682.0438923633,12354.5214085208,13107.1041323884,13889.3941908256,14712.2690183898,15622.5786743543,16582.9071093504,17600.7997287167,18647.7286232051,19707.0694363381,20752.9934650729,21740.9473378519,22656.9551399141,23494.4690847508,24250.8859198536,24946.5321885069,25555.1965620779,26115.0876348538,26625.6204897941,27117.7475187256,27583.8794830831,28018.2289740048,28424.4554245339,28806.3779259044,29178.3597996941,29496.7479792153,29793.5680192335,30069.1205965936,30317.8258242881
"min",24621.8353681497,24419.7766312449,24273.6047622558,24166.8895108555,24088.4689936099,24030.5677782311,23978.4940833369,23914.059252065,23864.7697161268,23826.9673618501,23797.9175122442,23771.1291373626,23750.4859089024,23734.5611400986,23722.2662173351,23712.7677479675,23705.4260981374,23699.7493774416,23695.3587364115,23691.9620446562,23689.3338352895,23691.7306439548,23693.5854474914,23695.0206764817,23696.1311610852,23696.9903312106,23697.6550327234,23698.1692650421,23698.5670795511,23698.8748259721,23699.1128926163,23670.6559093959,23648.6285234412,23631.5588148408,23618.3194512624,23608.0440093626,23600.0647892964,23593.8661545104,23589.0492506404,23585.3051651391,23582.394409433,23608.7723191536,23629.2716102928,23645.1858638359,23657.5306220284,23667.1004903058,23674.5155968106,23680.2589350915,23684.7061069766,23688.1488502944,23690.813553531,23692.87576785,23694.4715473126,23695.7062899237,23696.6616179513,23697.4007249879,23697.9725270268,23698.4148824246,23698.7570880249,23699.0218132179,23699.2265979336,23699.3850125481,23699.507555806,23699.6023498105,23699.6756778725,23623.7779838302,23640.922406122,23654.2242950431,23664.5378845518,23672.5303001391,23678.7214184537,23683.5156914641,23428.5770848111,23230.1095727441,23332.7205974225,22957.2795076848,22521.879899796,22497.6195072279,21436.3372252998,19864.5581108379,17115.4107662181,11420.3327210519,6571.74594703794,4334.06666493798,3771.38744042198,2986.6076418453,1561.24372106681,1240.87019969981,1214.38811119694,1176.65761199995,1152.79553856201,1135.27976938223,1210.27740420926,933.088122248058,858.198880115353,637.044514552568,454.689202784328,501.156705838953,560.19032572293,606.922419669366,626.730280648022,592.122908148855,643.628632092345,696.132308680149,644.362453284795,662.498645751546,691.890340133627,666.981516642907,500.311192793235,559.245236140789,623.092979197074,660.005147366781,724.570497306179,809.910692168974,901.242842655073,946.575491178061,816.86559089949,882.669211975682,951.150070018389,1014.51477495265,1049.86600835479,466.164956535943,475.476752777489,497.032093558862,413.711012649766,417.858152113714,369.799575150061,244.132574056111,211.077813693608,219.729945475676,230.414650616837,230.197816872268,244.142334401006,248.58265842161,265.706241307399,297.007141203497,279.300990021751,312.203308587128,157.058106255193,175.414830438622,195.917032906196,218.81545743989,244.390146441936,270.920849913499,302.585288724497,337.950390209069,377.448571545582,421.562739102098,470.832166231623,525.859047453625,587.315803259018,655.95321626475,732.609485699177,818.220292744039,913.829973358599,1020.60389675315,1139.84214499639,1272.99457986382,1421.67736332703,1587.69096273336,1773.03961301137,1979.95211501239,2210.90370537346,2468.63851631116,2756.19182147695,3076.91079184021,3434.47180258435,3832.89135694851,4276.52632133387,4770.05727096492,5318.44618783527,5926.85641078424,6600.51857371693,7344.5214612031,8163.501894383,9061.20440784184,10039.8824503307,11049.4560531657,12117.0658565281,13248.0553830491,14239.8843722228,15042.3467837225,15868.1047452594,16592.5108498389,17284.1419516969,17981.9375370675,18682.747353761,19383.1611746758,20079.5647510225,20768.2108687935,21335.8173826947,21763.0069365232,22191.7435785728,22621.5576746457,23051.960909267,23482.4481318691,23912.4994683297,24341.5826890819,24582.4956430181,24594.16434152,24601.9105633096
"max",46191.2238919339,45478.6621365819,44822.4035415301,44215.380916321,43651.709964375,43126.4452767361,42635.3954109623,42174.9807949925,41742.1231663101,41334.1585678056,40948.7681706913,40578.8421661093,40227.933110777,39894.4343649194,39576.9213314939,39274.1257579926,38984.9143444009,38708.2708279798,38443.2808949139,38189.1194054227,37945.0395237941,37715.4440093535,37494.4478818281,37281.5053983604,37076.1172123022,36877.8254318095,36686.2093064593,36500.881449619,36321.4845196122,36147.688295216,35979.1870912665,35782.855126139,35592.21187982,35406.9385106301,35226.7394448164,35051.3402261488,34880.4856027025,34713.9378204958,34551.4750980476,34392.8902595973,34237.9895078346,34119.4336620459,34003.4948817458,33890.0622766375,33779.0310762881,33670.302201561,33563.7818719618,33459.3812453994,33357.0160872472,33256.6064659314,33158.0764725722,33062.0550251743,32998.7491410425,32936.9149527547,32876.5040169337,32817.4700284602,32759.7687017127,32703.3576597361,32648.1963307243,32594.2458512519,32541.4689757443,32489.8299917161,32439.2946403501,32389.8300420239,32341.4046264261,32213.8021909434,32169.0038759361,32125.1110150888,32082.0983974101,32039.9417475456,31998.6176820671,31958.103668218,31635.2754902818,31354.8631890253,31361.9831157606,30910.9262995181,30363.0942213776,30153.6935152631,28911.6384123684,26790.5689819256,23406.0473846846,16887.6480996309,11285.7052772981,8582.09589692079,7729.50440593291,6697.52750765161,5088.79781625365,4709.59784949307,4651.94819847723,4584.66367443963,4533.92302200044,4491.00754115381,4541.51356748922,4232.45221281428,4150.14089028248,3930.46810532037,3776.57409531577,3869.73094892279,3972.4527436269,4058.55747131939,4114.39117237325,4114.76056874195,4205.61528078738,4293.76794581171,4273.42134391533,4328.78573243027,4394.74809669587,4404.49037288636,4275.21583887122,4388.57226531204,4502.86084196934,4585.57175010179,4693.82266264632,4818.11126278736,4941.56935240498,5011.3082727796,4901.9065968278,5001.1124194976,5097.81189059169,5183.80409852618,5236.44384275482,4665.24928926167,4743.04720894673,4834.05420564786,4819.67211465954,4902.50760453218,4934.6347578259,4895.41947012072,4962.94271401074,5077.96625910801,5196.99109715429,5306.90074122189,5433.88566498656,5552.96758411002,5687.31823568874,5837.32461417592,5938.31984003591,6094.76476566251,6063.07560847441,6222.71081278197,6386.41826275508,6554.28980807933,6726.41825009406,6900.86407708929,7081.73687090311,7267.14847935195,7457.1943225885,7651.97010728875,7851.57164399591,8064.13723051661,8282.9555778491,8507.42887147956,8737.67645174307,8973.81758768828,9215.97118375945,9464.25545577947,9718.78757406903,9979.68327147712,10247.0564140548,10521.0185320788,10801.6783091319,11089.1410269745,11383.5079640064,11684.8757452208,11993.3356417073,12308.9728179678,12631.8655255835,12962.0842421161,13299.6907545557,13644.7371871482,13997.2649740546,14481.532658444,15009.0267769347,15550.570366646,16105.8812233233,16674.5838779711,17256.2018978909,17894.0630426571,18655.3710123004,19531.8322807863,20642.1612374454,21781.4105282604,22812.6981209836,23719.2146035318,24493.4318784657,25136.9679389628,25678.9963933557,26250.0375869318,26955.7544604265,27615.7252545508,28211.3509474705,28743.2175191225,29241.797764918,29689.8096480568,30251.8651357995,30790.1530200671,31281.8320820166,31727.9944333255,32130.3673299646,32494.9800636317,32868.3218824616
