"","r_max","K","var_N","z","catch_multiplier_1","catch_multiplier_2","catch_parameter_1","catch_parameter_2","sample.N.obs","add_CV","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"38",0.110691650231834,24006.370842048,0,2.39,1.0243070424785,1.74883955730246,0,0.73061597510241,3387.67743401695,0,52.2146586729694,1968,0,3387.80677642642,5127.06603657996,2749.72179057781,10268.5945615595,21253.2013275451,0.110680011592562,0.108792354368966,0.345405617606079,1.92562391849868,0,-9999,43.463390032012,0,352.651178981726,0,396.114569013738,9.32456274889658e-173,0.00217503341161062,0.141121154826641,0.213571058712453,0.114541336075738,0.427744561188469,0.885315046884113,38,1
"39",0.0738667929759249,30013.6848459778,0,2.39,1.01309340725889,1.68083687694353,0,0.861010685097426,30013.5076558217,0,8436.7471028221,1916,0,30013.5076583209,30013.6033750057,30013.4235410086,30013.6639291308,30013.6823767858,7.04182667869979e-05,7.61228894807786e-07,0.00544170322514187,0.313109438675006,0,-9999,50.7976618315658,0,70.4201110752533,0,121.217772906819,2.26876815650295e-53,0.281096677935989,0.999994096437746,0.999997285539163,0.99999129380579,0.999999303089669,0.999999917731126,39,1
"40",0.0191426969422027,32273.2683499524,0,2.39,1.01738589415407,1.74608509846287,0,0.508449085988104,10408.080163761,0,4303.41581057701,1926,0,10408.0801637795,11168.1449772724,10044.4335678463,12603.2990011089,15114.1732051632,0.018595051994855,0.0177447050242203,0.0220584005878223,0.848463033008344,0,-9999,45.8889036127929,0,59.2919212848394,0,105.180824897632,2.09193480151607e-46,0.133343043038384,0.322498485462345,0.346049394693204,0.311230751683727,0.390518210441103,0.46831864195699,40,1
"41",0.0538749890145846,28135.9908049263,0,2.39,1.02242456330158,1.69004598683444,0,0.380947593366727,10462.548862095,0,1029.91008528727,1958,0,10462.5488633742,12612.3484799624,9496.91903102533,16917.3420464469,23338.796272167,0.0533602431216698,0.0473831575651491,0.0404792598696894,0.763082688891699,0,-9999,41.2152007604457,0,45.9727464340867,0,87.1879471945324,1.36381557214408e-38,0.0366047207090694,0.37185642175936,0.4482638826337,0.33753632835857,0.601270527977456,0.829499712094043,41,1
"42",0.0284024362508208,32532.0844722775,0,2.39,1.01646847923676,1.67011454956416,0,0.729007419198751,30188.5501991492,0,7825.73562411245,1917,0,30188.5501993646,30706.5902937501,29884.760317896,31371.2825380069,31977.2871795133,0.0124946689585126,0.00415445195654174,0.00635132358112166,0.306853497237722,0,-9999,49.4829803725325,0,72.8448333316901,0,122.327813704223,7.47662373271815e-54,0.240554386571239,0.927962369736562,0.943886344569066,0.918624207537717,0.964318242956126,0.982946149877454,42,1
"43",0.0710793234682642,27992.9827166331,0,2.39,1.01309630901151,1.8411511914371,0,0.019517945125699,21658.0057593528,0,927.827776638049,1926,0,21658.0079719093,24193.3626420603,20131.804639564,26724.3646217109,27815.3540441831,0.0676354658556892,0.0267333145342536,0.0210997597945716,0.396560420467507,0,-9999,44.7160585341537,0,31.5147878756759,0,76.2308464098296,7.82283289675505e-34,0.0331450130209505,0.773694185830377,0.864265265583321,0.719173260075707,0.954680853135081,0.993654528556385,43,1
"44",0.0269234942295589,39163.2499246199,0,2.39,1.02158489179099,1.63610869710018,0,0.903613622998819,38506.6887473222,0,16104.550065971,1917,0,38506.6887595861,38656.4941435004,38416.4691713737,38842.3395286041,39007.6563333926,0.00370800774090729,0.000945682550110849,0.00442495498747018,0.243252636534559,0,-9999,50.4766176313515,0,127.026995541285,0,177.503613172637,8.15005015237062e-78,0.411215874498886,0.983235273724792,0.987060425728333,0.980931593913079,0.99180582825395,0.99602705108675,44,1
"45",0.027702042947989,31507.9294550235,0,2.39,1.0124559497735,1.71356855532974,0,0.465076518245041,19619.6776245488,0,4170.16815042825,1926,0,19619.6777919556,21083.7089798475,18881.4432391413,23521.5782993004,26717.3701580214,0.0244875723002109,0.0179344007189306,0.0125795409095901,0.450001262063078,0,-9999,45.9090703134838,0,23.539747861669,0,69.4488181751528,6.89860838316193e-31,0.132352973443749,0.622690165025348,0.66915564889606,0.599260045509937,0.746528848646707,0.847957026060995,45,1
"46",0.0574086510096677,26667.9090648153,0,2.39,1.01992663632804,1.72688747140303,0,0.701557958265767,510.559115558863,0,56.2880816731947,1968,0,510.559143176365,638.27578128042,456.628875956737,943.353123126961,1742.44207284926,0.057408284416812,0.0574025653481198,0.912792189676523,15.1062896867382,0,-9999,40.3895199456231,0,1997.89628334423,0,2038.28580328985,0,0.0021107047251582,0.0191450759013566,0.0239342267040553,0.0171227850990087,0.0353740940406756,0.0653385336141024,46,1
"47",0.0604311121222563,27026.0370864001,0,2.39,1.02146064863126,1.76895262038613,0,0.558377164416015,4713.9456118457,0,455.076055516383,1968,0,4713.94561369547,5934.94186312222,4197.98150295017,8802.00893510613,15383.8630276925,0.0603630214615847,0.0591589136469117,0.103765399903888,1.62688733164373,0,-9999,40.33564474176,0,254.829511615115,0,295.165156356875,6.47740935386683e-129,0.016838430808836,0.174422376415209,0.219600892433792,0.155331005042639,0.325686259771154,0.569223781441262,47,1
"48",0.080150321891997,29124.314479864,0,2.39,1.0178393101073,1.74184697935075,0,0.494391012238339,29124.2354164133,0,6496.8732219035,1916,0,29124.2354171028,29124.2807071364,29124.1935108069,29124.3068572442,29124.3137449534,5.39838532320758e-05,3.71430295409425e-07,0.00560724168000044,0.322670261272389,0,-9999,50.7980459913321,0,65.0793511663667,0,115.877397157699,4.73244785237815e-51,0.223073859005173,0.999997285334861,0.999998840394075,0.999995846458215,0.99999973827299,0.999999974766424,48,1
"49",0.0437905010394752,29409.2284649476,0,2.39,1.01634329187873,1.6154944095772,0,0.302189789013937,18553.6963245831,0,1928.48133983717,1926,0,18553.6969747466,20691.3837036256,17464.6301204856,24001.5583515557,27343.9159164652,0.0409919742138598,0.027057439876331,0.0173712272039148,0.461419429210772,0,-9999,44.1494424945033,0,21.1387351913768,0,65.28817768588,4.42287532650336e-29,0.0655740201459448,0.630880099315098,0.703567716109497,0.593848632965716,0.816123360058995,0.929773317550848,49,1
