"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs1","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0323872364513434,45438.5230969413,0.000432088285568877,4.0256408681576,0.638968316943921,0,1,1.59928093565975,1.08963578908472,1,0.493528959915554,5262.96748773959,0,0,475.523714662235,1849.8134,0,5262.97158705738,5606.42701525438,7461.1298086751,0.0263485723501013,0.361694422740283,0,0,-9999,-7.843262443378,0,0,0,0,0,0,0,-6.91692544127407,0,14.7601878846521,1.79250000379381e-06,0.0103203967925145,0.120478769920609,0.128476368725523,0.171705676656809,30992648.9292,1
"median",0.0320322583700905,44260.7955277567,0.000461622489718462,3.10643269634209,0.634625114442315,0,1,1.59925270166923,1.08914190833648,1,0.491798403323628,5244.98201349051,0,0,448.228271061104,1851,0,5244.98372924271,5576.83199472905,7367.67262850131,0.0262361341553992,0.360733514721033,0,0,-9999,-7.60984830537615,0,0,0,0,0,0,0,-6.64649606108506,0,14.5144391165069,4.97117651033565e-07,0.00990533136969548,0.118127936854538,0.125504497008253,0.16542928322984,31432949,1
"2.5%PI",0.0214034034034919,31378.9620714675,0.000104153340430401,1.04048718281035,0.503869944566395,0,1,1.52217311735554,1.01135944173736,1,0.0239830813370645,4405.71967177093,0,0,180.874666119386,1839,0,4405.72164909075,4620.7147001271,5597.34671211961,0.0144590919274542,0.318933374535692,0,0,-9999,-12.39803951804,0,0,0,0,0,0,0,-8.90009060029208,0,11.336847188203,3.41281955201147e-09,0.00495280248087469,0.0754984667274635,0.0792400513841081,0.0979023984483554,1556138.475,1
"97.5%PI",0.0451119125769121,65518.7618337389,0.000642406491672383,10.5166742368678,0.792650046563358,0,1,1.6782146758987,1.16910198980425,1,0.97461529005086,6267.23967517377,0,0,949.238006527226,1853,0,6267.23843174779,6790.6521025513,9874.96754961409,0.0385897157675161,0.408608847548168,0,0,-9999,-4.66817432292193,0,0,0,0,0,0,0,-6.41984170531674,0,19.4957270446529,1.19253140250028e-05,0.0181372954712905,0.180593455469784,0.195348384224112,0.282320331433668,60161442.25,1
"5%PI",0.022936771995469,32865.6872493083,0.000136411649117681,1.08632409320728,0.508157454761677,0,1,1.53334254291348,1.02259458458971,1,0.0457938101957552,4518.2829918107,0,0,210.517109055862,1840,0,4518.28302143124,4739.07458904274,5815.68446485961,0.0165462732826644,0.325480864191238,0,0,-9999,-11.4267586621256,0,0,0,0,0,0,0,-8.32932425551144,0,11.7252746297296,8.47663963713488e-09,0.00558077463800158,0.0809278986081922,0.0852472776842536,0.106436847186817,3138691.4,1
"95%PI",0.0428746012986595,61723.9172662334,0.000634017102956609,9.89537070101306,0.785559460506775,0,1,1.66474394211178,1.15670469631769,1,0.949091782642063,6080.48002684256,0,0,844.366629238322,1852,0,6080.49273706477,6570.62899493949,9398.97481783505,0.0365383161510666,0.401152743744352,0,0,-9999,-5.03347405381226,0,0,0,0,0,0,0,-6.4213014341662,0,18.5859517782746,8.08682284909658e-06,0.0163259753568083,0.169217008721264,0.182465589765699,0.258646023932688,58610937.2,1
"min",0.0141280605577395,24348.5980614549,6.50609544994401e-05,1.00025903684869,0.500025079073384,0,1,1.45422373859815,0.925325124682688,1,1.00987963378429e-05,3463.75307787675,0,0,80.4212636982162,1839,0,3463.74853816847,3460.71211272505,4197.84335658132,0.00414729084171617,0.278090109213395,0,0,-9999,-22.2155036883494,0,0,0,0,0,0,0,-14.226706805795,0,10.1081255827698,2.50722028903047e-13,0.00227121993120777,0.048700941954255,0.0525430773402344,0.0612584889661231,3737,1
"max",0.0621980497379419,94031.6432749281,0.000650551747109619,11.2149887701759,0.799992053606547,0,1,1.76104585143713,1.24693629494846,1,0.999827166786417,7426.32069550455,0,0,1621.41454798955,1922,0,7426.33757319568,8210.16300514704,13105.8959848197,0.0544966706646537,0.470646256245182,0,0,-9999,-3.28806664092904,0,0,0,0,0,0,0,-6.41936514383947,0,29.0144315240294,4.07471123742531e-05,0.0338642533359694,0.268573933934377,0.303270892131742,0.504172059227874,61775489,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
