"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.034","0.03","0.002","0.015","0.05","0.088","5,924"
"2","$K$","438,206","67,650","22,854","43,347","131,550","1,696,788","5,924"
"3","$z$","3.484","2.866","1.087","1.789","4.484","9.235","5,924"
"4","$Pmsy$","0.628","0.624","0.508","0.564","0.684","0.777","5,924"
"5","$sigma^2$","0.033","0.028","0.01","0.019","0.042","0.082","5,924"
"6","$N_{min}$","    526","   269","    29","   118","    680","    2,382","5,918"
"7","$N_{2019}$","  4,227"," 4,117"," 2,656"," 3,556","  4,775","    6,493","5,924"
"8","$N_{2021}$","  4,691"," 4,394"," 2,280"," 3,489","  5,510","    9,195","5,924"
"9","$N_{2030}$","  7,346"," 5,898"," 1,558"," 3,779","  8,836","   22,707","5,924"
"10","Max depletion","0.007","0.003","0","0.001","0.007","0.035","5,924"
"11","Depletion in 2019","0.07","0.06","0.002","0.03","0.096","0.191","5,924"
"12","Depletion in 2021","0.079","0.064","0.002","0.031","0.106","0.245","5,924"
"13","Depletion in 2030","0.131","0.085","0.002","0.034","0.171","0.541","5,924"
