"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0114105518714027,65208.166865197,0.000374134203918486,4.25914549668168,0.649351434918415,0,1,1.60039904499427,1.08962697119132,1,0.496484604480152,4597.34304967395,0,0,2185.16002885782,1895.7478,0,4597.34312892533,4708.29329427741,5250.267770304,0.0107397561438833,0.362119763986696,0,0,-9999,-5.72274842537135,0,0,0,0,0,0,0,-6.91784686296657,0,12.6405952883379,6.18546031236078e-06,0.0329239419721487,0.0754646535677963,0.0774587944416402,0.0872659169337156,9048724.6182,1
"median",0.0105349097971339,62771.8434364351,0.000381635769265281,3.47450454186363,0.64969384180149,0,1,1.60073198970573,1.09027509298841,1,0.494251927942969,4572.16689852067,0,0,2148.57873522039,1851,0,4572.16694774193,4670.07330556794,5137.85624588487,0.0102756950427847,0.361254216197843,0,0,-9999,-5.67088455927692,0,0,0,0,0,0,0,-6.65181342876522,0,12.5110846411464,3.68557266731351e-06,0.0320510468163278,0.072725952000873,0.0743498477646215,0.0817453996460615,9052963.5,1
"2.5%PI",0.000672697727684863,40440.8699007755,8.09220649407391e-05,1.07105537605192,0.506740042006714,0,1,1.52145092777204,1.0105110687531,1,0.024074413604103,3825.09446791373,0,0,516.024630152032,1839,0,3825.09446791334,3832.94176225023,3864.58292951074,-0.00108995739832532,0.319874594334439,0,0,-9999,-8.0881169223593,0,0,0,0,0,0,0,-8.88953076341755,0,10.4723583911305,1.62460221315534e-07,0.0111047685416216,0.0403294986954853,0.0403316570765576,0.0409602074892661,455047.075,1
"97.5%PI",0.0275059237218228,105072.322052167,0.000638547514382171,10.4919128064739,0.792378002253245,0,1,1.67830378752389,1.16816714941067,1,0.974076211074134,5516.00431790051,0,0,4021.96503060973,2001,0,5516.00440944732,5789.93223403516,7292.62214586934,0.025186112990667,0.409012288184281,0,0,-9999,-3.79935684672013,0,0,0,0,0,0,0,-6.4198754646914,0,15.6328326763609,2.83082184513881e-05,0.0624676115101475,0.124333802930171,0.130172711928862,0.162903296259723,17612441.95,1
"5%PI",0.00132619292289018,43003.8429934926,9.87337324050237e-05,1.14824105310751,0.513797439966583,0,1,1.53431190406051,1.02351962628241,1,0.0496088221785613,3936.71453262796,0,0,635.459682460553,1839,0,3936.71453267813,3961.2806997358,4028.18792721586,0.000503936214428469,0.326211327498312,0,0,-9999,-7.54620405109808,0,0,0,0,0,0,0,-8.32207041863037,0,10.8024187896503,3.17199336722794e-07,0.0130980537911558,0.0447068313536387,0.0449962850322253,0.0460807729062579,904646.2,1
"95%PI",0.0247208974933019,95754.2805419757,0.000625568433389121,9.84140168131714,0.784916342044017,0,1,1.66612931979757,1.15569049968876,1,0.948519140284043,5341.39989920194,0,0,3843.2030494125,1989,0,5341.39988312661,5587.41949997315,6857.86132463929,0.0226715636370499,0.400991989007362,0,0,-9999,-4.09642135758271,0,0,0,0,0,0,0,-6.42144267834029,0,14.9637355003882,2.03502210318119e-05,0.0575787244432764,0.115236584560491,0.120310935529191,0.146955745424509,17161925.1,1
"min",1.7276918515563e-06,28838.7015384449,6.50827085802171e-05,1.00008379973741,0.500008099433035,0,1,1.43938861311733,0.935501368171158,1,7.27572478353977e-06,3164.88495757803,0,0,149.892368348374,1837,0,3164.88495782009,3163.08044874971,2952.79634961869,-0.0116381731904467,0.282009677005712,0,0,-9999,-15.2475049281238,0,0,0,0,0,0,0,-13.6209827135788,0,8.69523969705578,2.05623961111441e-11,0.00428118096925333,0.0186727338546801,0.0188358667834873,0.0165547932818065,1021,1
"max",0.0436337957787327,223719.629783732,0.000650587697252986,11.2146503888755,0.799988643219695,0,1,1.77464908053428,1.24875842393535,1,0.999984578229487,6836.47529212758,0,0,4896.69611336762,2030,0,6836.50702091387,7086.09493752393,10295.4686552858,0.0414855619453878,0.463579830121109,0,0,-9999,-2.23173252145611,0,0,0,0,0,0,0,-6.41936514781495,0,24.6075571397613,0.00016738070037023,0.11342552999661,0.209100937970815,0.224688050409183,0.323690996268715,18065468,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
