"","r_max","K","var_N","z","Pmsy","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0114021243167892,65379.938080435,0.000374175049965516,4.2567438800561,0.649363592727161,1,1.60049721838116,1.08986098831003,1,0.504834276118467,4593.68329960989,0,0,2185.81418019065,1895.27025,0,4593.68332567264,4704.31241218403,5240.84139679957,0.010746461712951,0.362312331582946,0,0,-9999,5.70802712149722,0,6.91618211407738,0,12.6242092355746,6.36091055955873e-06,0.0328871804575268,0.0751651538719229,0.0771446350739518,0.0868074775156889,1807825.07435,1
"median",0.0104828747140709,63131.3023326909,0.000381972421388558,3.46442937236176,0.649301911483053,1,1.60014263693797,1.08974822945469,1,0.505955309839919,4571.46301929606,0,0,2151.13348452097,1851,0,4571.46305739926,4668.77944079122,5124.97676895138,0.0102299009160836,0.361731316713046,0,0,-9999,5.66227877819888,0,6.64434875312962,0,12.5083464812506,3.69567818664116e-06,0.0320185215547601,0.0724944283301568,0.0741057504321612,0.0813094182972164,1798966.5,1
"2.5%PI",0.000754568332165946,40420.4294159697,8.2873190529474e-05,1.06803921219991,0.506458782413975,1,1.52302812025996,1.01105955889055,1,0.0275393602147233,3824.27912501968,0,0,509.154541601391,1839,0,3824.27912502113,3828.76597070542,3850.06475152811,-0.000876250109394888,0.319887809433519,0,0,-9999,3.72912880442446,0,6.41984113504927,0,10.427028557368,1.69670376109352e-07,0.0110827008317461,0.0406959465228387,0.0409317965059608,0.0415981380063886,89975.15,1
"97.5%PI",0.0276748194438988,103594.681833801,0.000637562642540006,10.4732993755148,0.7921729496232,1,1.67918725166962,1.16919183124971,1,0.97508449840243,5488.08951640793,0,0,3995.76204320966,1998,0,5488.0895164036,5759.93676133975,7213.54270777396,0.0249458642713111,0.409065128887928,0,0,-9999,8.05934120104475,0,8.90943273214936,0,15.5894083275161,2.96209535351779e-05,0.0617893332140644,0.124509100575073,0.130675284518994,0.162873652500137,3528729.825,1
"5%PI",0.00140844798285979,43032.8083797916,0.000100351769129498,1.14566444780964,0.513566143761855,1,1.53491414295454,1.02373096295575,1,0.0512847103062086,3934.54809279298,0,0,643.878367658511,1839,0,3934.54820047854,3959.23238355345,4022.06651147385,0.000581028469704092,0.326275930631067,0,0,-9999,4.05365943460649,0,6.42134216415231,0,10.7448626615335,3.41136092905402e-07,0.0131537832429369,0.0445925038924046,0.044694920469065,0.0460516151970553,183726,1
"95%PI",0.0245804752991535,95796.5111269983,0.000624978190819024,9.79921040563137,0.784410391100682,1,1.66607328066268,1.15576855875053,1,0.950272574904375,5330.11465091025,0,0,3819.74145053319,1987,0,5330.11611083064,5568.74031284041,6806.00014759545,0.0226007019802469,0.400533141134874,0,0,-9999,7.49956451649932,0,8.32640393366799,0,14.8909843767662,2.15558720574855e-05,0.0567455189061644,0.114672665981789,0.119604214658362,0.145504036040796,3437677.95,1
"min",1.13232992589474e-06,28631.2641847445,6.51052116734391e-05,1.00009326918442,0.500009015505202,1,1.4282128911389,0.943060961930296,1,0.000172573141753674,3147.43424798362,0,0,185.368776070623,1837,0,3147.434248013,3184.71741119247,2961.58497231971,-0.0110326671932499,0.277838779400793,0,0,-9999,2.63901711763146,0,6.41936514644715,0,9.23135340708068,1.88598766556695e-10,0.00433299404107458,0.0222175143520189,0.0224609079289384,0.0215480483203,240,1
"max",0.051155065682251,185713.466023177,0.000650587064396093,11.2154809078381,0.799997013388202,1,1.76568066335737,1.24773177122451,1,0.999997212318704,7139.67288942076,0,0,4864.68445993273,2030,0,7139.68864946415,7873.05644756722,12637.7177406493,0.0449167851280958,0.459306641707093,0,0,-9999,14.4239869854851,0,14.1396768749391,0,22.3913992857469,9.79206200431126e-05,0.110223286298428,0.206572356810618,0.227790861132166,0.374696607148796,3622098,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
