"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs1","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0558114538330529,64829.7634331364,0.000369628479137205,0.979200019867634,0.69870145897642,0.0675380113582724,1,1.6001171839169,1.08999236885209,1,0.488195650170476,4277.5331641577,0,0,3595.85650524099,1981.6796,0,4277.53315254691,4289.21207824587,4347.18434081906,0.00258849128376991,0.362089071190874,0,0,-9999,-5.72576685368338,0,0,0,0,0,0,0,-6.92517717064157,0,12.650944024325,5.72031201932728e-06,0.0585185700418608,0.0705431448646047,0.0707997024988901,0.0720647679082247,487136.0748,1
"median",0.0564372452301904,61332.7069865177,0.000374576518587513,1,0.698100342974067,0.0473031531669777,1,1.6002221272486,1.08983930179335,1,0.481501015950926,4265.26361887809,0,0,3628.06017803139,1980,0,4265.26361869855,4273.93756454544,4311.41259690211,0.0025197900221694,0.3613687902526,0,0,-9999,-5.72971363021684,0,0,0,0,0,0,0,-6.6502603169751,0,12.5690487485377,3.47801528162803e-06,0.0583150160155761,0.0690999150793059,0.0691234583217115,0.0693747770307144,489818.5,1
"2.5%PI",0.00277100649499335,41115.1346325286,8.19402789341943e-05,1,0.604909625836881,0.00185170934779616,1,1.52061227300127,1.01224679530934,1,0.0238193769066129,3622.09254891728,0,0,2664.1253082634,1847,0,3622.09252319635,3577.03725001172,3397.02253193835,-0.00625668795143059,0.319666389224213,0,0,-9999,-7.6231815522867,0,0,0,0,0,0,0,-8.88678605651746,0,10.5816145954748,2.34791848063229e-07,0.0334926505736427,0.0384269233009077,0.0383031554921477,0.0372184333894163,24286.225,1
"97.5%PI",0.107418383591983,107657.78110485,0.000637265522019542,1,0.794873424735852,0.258860306821658,1,1.67857560682402,1.16867222449204,1,0.972844172694022,5027.06325629377,0,0,4358.74928633672,2030,0,5027.06325627424,5102.73988118721,5512.50175391728,0.0116922169400429,0.408734877094385,0,0,-9999,-3.89217096294127,0,0,0,0,0,0,0,-6.41992540537488,0,15.2645664685125,2.5378337669599e-05,0.0851032779523323,0.110549218127521,0.112234854140175,0.121289567832523,946350,1
"5%PI",0.00555521659029182,43164.0698738269,9.71996864514575e-05,1,0.609177994346246,0.00370245284754198,1,1.53372688740267,1.02390309377938,1,0.0479522816953249,3717.10657904507,0,0,2829.12025538134,1864,0,3717.10656340238,3683.68081065749,3535.13296144752,-0.00479478462411611,0.326145048042441,0,0,-9999,-7.25038769751735,0,0,0,0,0,0,0,-8.32161642184989,0,10.9053962281918,4.23385147298106e-07,0.036908529833292,0.0421518687563954,0.0419336470489948,0.0413301762691797,49202.95,1
"95%PI",0.104685997102176,98205.7205861066,0.000624695834845099,1,0.789441501307301,0.197939378980587,1,1.66553094522657,1.15621232884908,1,0.945857694803272,4888.97324062651,0,0,4246.54115810325,2030,0,4888.97329920928,4945.73096896429,5273.73794970594,0.010197917268519,0.400705921194968,0,0,-9999,-4.19742091565413,0,0,0,0,0,0,0,-6.42141060320523,0,14.6749835585879,1.83588974155989e-05,0.0809846263451282,0.104007666200733,0.105397348019003,0.112280626574255,922498.35,1
"min",1.77860981784761e-05,31730.5970366603,6.50810117820938e-05,-3.0388978883425e-05,0.600001582922414,4.4607252634961e-06,1,1.44768238250398,0.926790717432437,1,3.38519457727671e-05,3086.28753302619,0,0,1829.67211858505,1836,0,3086.2875330264,3025.51116919084,2516.45172201419,-0.0166643692398598,0.27713639257788,0,0,-9999,-10.4852799270854,0,0,0,0,0,0,0,-15.7648206067324,0,9.12594352171775,2.78998364410218e-10,0.0156149778393542,0.0207518766552007,0.0200519173729004,0.0187133316687543,10,1
"max",0.109995639715344,203980.14810441,0.000650600015467483,1,0.799978558812291,0.606146600237051,1,1.75069671373045,1.24824429763241,1,0.999949381686747,6173.63301406149,0,0,5051.16718885541,2030,0,6173.63323905045,6153.88124629189,7506.51295530867,0.0235719331672839,0.475550168934845,0,0,-9999,-2.68531472479614,0,0,0,0,0,0,0,-6.41936514365396,0,21.9998151964533,0.000108806060527315,0.121648935759333,0.160541397243354,0.160416259024144,0.194050397279807,971160,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
