"","r_max","K","var_N","z","Pmsy","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0114961175364152,44465.1104090173,0.000377342108127257,4.20711976686649,0.64743947558753,1,1,1,1,0.4973572709108,4595.34954103158,0,0,2109.14173390043,1888.96025,0,4595.3495718926,4705.69603545714,5246.0988520064,0.0107968133855876,0.362256757637932,0,0,-9999,5.70717272995666,0,6.92097098584434,0,12.628143715801,6.51816660758147e-06,0.0465926444253585,0.112176955538214,0.11514305488189,0.12976182982179,1792240.4434,1
"median",0.0105798791896086,42658.4696588173,0.000386802172652051,3.37105341128814,0.645616962609347,1,1,1,1,0.495630872552283,4571.01186398649,0,0,2025.52017944225,1851,0,4571.01189063328,4668.97235535295,5122.18776030873,0.0102561030274828,0.361657124929792,0,0,-9999,5.66399608006059,0,6.64919255157704,0,12.5099106866834,3.68990189683024e-06,0.0444800315363866,0.10757777796669,0.109742548860218,0.120865580510754,1793866,1
"2.5%PI",0.000719039609190077,25976.3251857097,8.37464295173091e-05,1.07134078245153,0.506766634649248,1,1,1,1,0.02437787783565,3823.86799194617,0,0,452.132945176201,1839,0,3823.86797918521,3828.86610400776,3857.21034641509,-0.00108890429375655,0.319631910055275,0,0,-9999,3.74212069900408,0,6.41983232635143,0,10.400194443382,1.61380695771416e-07,0.0148216036908798,0.0572364275337697,0.0573487699507743,0.058310292786409,88312,1
"97.5%PI",0.028029824899917,74052.3286397098,0.000638312972815353,10.5028013707085,0.792497734228382,1,1,1,1,0.975120480451733,5506.0716248228,0,0,3998.73122030911,2000,0,5506.07163002759,5780.13024123708,7279.12603927684,0.0253191790542682,0.409389387279502,0,0,-9999,8.07827250460626,0,8.94880949926687,0,15.6394997315699,3.04265661887469e-05,0.0926555166503643,0.193523322962325,0.202442248030364,0.249898565445138,3497806.6,1
"5%PI",0.00133001455303747,27805.0746356848,0.000101486510563659,1.14601812717176,0.513597910134122,1,1,1,1,0.0495024328120053,3927.75169334724,0,0,566.06218174863,1839,0,3927.75169332623,3951.97961361177,4032.02189233976,0.000584668955534085,0.325941549380994,0,0,-9999,4.03075893107014,0,6.42121244333181,0,10.7278511033535,3.26179591337445e-07,0.0173649505800819,0.0634063274787357,0.0638425408370544,0.0652951884399913,177066.25,1
"95%PI",0.0250709545814898,67178.3058718142,0.00062599097441772,9.82754745226192,0.784750513682374,1,1,1,1,0.950540029734839,5343.44947239267,0,0,3822.09414783442,1989,0,5343.44990590744,5573.63931472295,6847.861326963,0.0228470860466702,0.401419384088085,0,0,-9999,7.54609552912627,0,8.36209671349078,0,14.9358177246361,2.1925700791458e-05,0.0844780603746517,0.178198791647688,0.185410950481849,0.224551871959389,3405383.7,1
"min",5.64346555620432e-07,18498.3814208487,6.50660496654584e-05,1.00026617603772,0.500025772047229,1,1,1,1,6.89667649567127e-05,3242.66109999735,0,0,138.030210606359,1836,0,3242.66110001821,3257.41842232727,2875.38472237069,-0.0139568943138116,0.277499529741838,0,0,-9999,2.00337574625214,0,6.4193651563744,0,8.57199666522979,5.7999456352896e-10,0.00646082191647432,0.0291649993689738,0.0297588743726805,0.031738881908339,242,1
"max",0.0513784216530621,134794.575727948,0.000650601197200259,11.2151599931562,0.799993779230863,1,1,1,1,0.999914770014584,6675.96265231259,0,0,4803.0559956097,2030,0,6675.96287569714,7255.43655801668,10285.3105267143,0.0405398360249802,0.475059756186634,0,0,-9999,13.7013307014668,0,15.2378238383713,0,21.2680023856579,0.000189334235069834,0.161618161825627,0.307641583451969,0.332520099565621,0.53168428635962,3585615,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
