"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.035","0.032","0.002","0.016","0.048","0.085","6,083"
"2","$K$","236,932","47,246","15,584","29,501","94,581","965,700","6,083"
"3","$z$","3.442","2.739","1.06","1.586","4.74","9.511","6,083"
"4","$Pmsy$","0.624","0.618","0.506","0.549","0.692","0.781","6,083"
"5","$sigma^2$","0.031","0.027","0.012","0.02","0.038","0.069","6,083"
"6","$N_{min}$","    464","   236","    25","   101","   570","  2,195","6,082"
"7","$N_{2019}$","  4,163"," 4,078"," 2,604"," 3,441"," 4,705","  6,361","6,083"
"8","$N_{2021}$","  4,562"," 4,296"," 2,299"," 3,425"," 5,321","  8,438","6,083"
"9","$N_{2030}$","  6,929"," 5,520"," 1,453"," 3,667"," 8,681"," 19,953","6,083"
"10","Max depletion","0.008","0.004","0","0.002","0.009","0.041","6,083"
"11","Depletion in 2019","0.101","0.084","0.004","0.042","0.141","0.289","6,083"
"12","Depletion in 2021","0.112","0.088","0.005","0.042","0.156","0.346","6,083"
"13","Depletion in 2030","0.177","0.115","0.005","0.044","0.233","0.703","6,083"
