"","r_max","K","var_N","z","Pmsy","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_CV_IA","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.059436449910102,95755.8258442611,0.0250671848090059,2.39,0.600013712685785,1,1.59951173653106,1.09024438887349,1,0.508270997721702,14543.7515699351,0,0,758.027879567866,1881.8674,0,14753.5748423246,20010.7690864843,13935.1936450574,27340.66245842,34940.8897401006,0.0547814365289385,0.0676224262245641,0.0338738238391325,0.513619477702196,0,-9999,40.5280261436816,0,17.1659166383982,0,57.6939427820798,1.6217107081197e-25,0.0153229620726403,0.350852076226718,0.475227718241242,0.329931505944408,0.634897006425067,0.751818849618381,154646.2521,1
"median",0.0596550222458318,43644.7976396146,0.0219403708483182,2.39,0.600013712685785,1,1.5995459958046,1.0908651986637,1,0.516873377142474,14597.1774975187,0,0,128.035093753091,1871,0,14708.970350951,19938.8798605907,13424.6326973483,26238.0645445335,31533.3451968505,0.0544249689675389,0.0672388939932,0.0267976776729566,0.512351078463859,0,-9999,40.3399475432451,0,16.8713323032826,0,57.4743017993476,1.09453052331927e-25,0.00285960256163304,0.335088483484911,0.458090550037333,0.299722855546517,0.629529012157268,0.771528315560629,150207,1
"2.5%PI",0.00748154051868478,20487.9350383678,0.0104075361630299,2.39,0.600013712685785,1,1.52542657297745,1.01084741985166,1,0.0312921782722697,10092.5735116471,0,0,25.2097035819894,1837,0,12796.533915528,17525.6622187603,8379.36855793801,13235.7457629478,9875.98603210824,-0.0245914631997727,-0.00235342592596111,0.00590416114816479,0.435208350454119,0,-9999,39.0963880734921,0,16.2306042983818,0,55.5932261399633,3.14226512005391e-27,0.000530294486991259,0.038294137508219,0.0527550018032294,0.0358744118975103,0.0585620012479918,0.0647886097655172,6996.75,1
"97.5%PI",0.112811829411425,380722.326282239,0.0581444678359673,2.39,0.600013712685785,1,1.67690411665194,1.17162623278782,1,0.981228084076429,17291.3587167859,0,0,8184.91139008652,1969,0,17065.8413246996,22844.3965258578,22670.9495547827,47054.0084558345,82052.4263200149,0.137878316841837,0.138192653676868,0.108451248350926,0.603274114979799,0,-9999,42.9713154141958,0,19.6871643287994,0,61.0248549612849,7.18073097432923e-25,0.182708637837203,0.732844982402066,0.985214388819508,0.804385779857745,1.26294134045502,1.44609016371046,302144,1
"5%PI",0.0123706668816973,22171.2165061311,0.0114897364713816,2.39,0.600013712685785,1,1.53782599082526,1.0233959412495,1,0.0564340853597969,12070.9808213869,0,0,33.1501447017566,1841,0,13009.5458360334,17894.5730842191,9037.74687253481,15216.4171315801,12830.152805984,-0.0123580544511715,0.0111485956716391,0.00766521114723714,0.447135766672595,0,-9999,39.2454256806277,0,16.2559865743272,0,55.9961318638354,6.90694954640515e-27,0.000735183140045112,0.0796590813450627,0.107953113818824,0.0712266272486988,0.120035084339424,0.126351450986321,17685,1
"95%PI",0.106040910742175,183338.185621859,0.0495211307686237,2.39,0.600013712685785,1,1.66389850169033,1.15471329018932,1,0.950166562572122,16825.7150477381,0,0,4299.89663405453,1963,0,16715.424404788,22343.5344875368,20520.88375885,42503.1250593339,68606.8728976663,0.125217628382059,0.124165018546485,0.0841644563979479,0.588020355857565,0,-9999,42.3869424118639,0,19.0195082233831,0,60.237270707154,4.79942184171124e-25,0.0502478676864121,0.6729656159728,0.905684886192017,0.685092706273814,1.1683352805484,1.32922257454039,296961.65,1
"min",1.20349652133882e-05,13167.0698589303,0.00658832116132083,2.39,0.600013712685785,1,1.44758380094551,0.95786155954815,1,1.90199352800846e-05,7095.02839599736,0,0,5.71773821531966,1661,0,10839.0816803052,15674.8256942195,2906.10735639871,6472.81854761433,2805.0483856642,-0.128028139060855,-0.0682410716706556,0.0020366512845329,0.372871198027651,0,-9999,38.6083721789306,0,16.201164017652,0,55.4651532685656,2.98589937995215e-29,3.46417543984142e-05,0.00100402367893237,0.00119875703892281,0.000978465692094513,0.00119710539087029,0.00133484432116604,148,1
"max",0.117910513613373,15428668.1673896,0.190499627791171,2.39,0.600013712685785,1,1.74309095528793,1.21600274805088,1,0.999483803054318,29126.4303455828,0,0,17228.1709731324,2030,0,19527.0750457614,25840.5335622069,38250.643976796,123680.681505611,244725.941751438,0.219189792009503,0.284063469402539,0.252750786077458,0.713834102310059,0,-9999,47.0228826263212,0,25.1918557807994,0,65.681066695548,8.16187609608292e-25,0.569773937693995,1.00003314963089,1.56106544965432,1.57806122876762,2.48121049750752,2.89788603623772,310052,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
