"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs1","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0265802675505605,58368.6787198332,0.000371522337637927,3.52996714393571,0.637345235479489,0.1197706288844,1,1.60004101125537,1.09038212170266,1,0.514201131587161,4546.86402424704,0,0,2678.41177014222,1914.78965,0,4546.8637712281,4650.49879860676,5185.34635994587,0.0093101470451487,0.362461009784106,0,0,-9999,-5.69314196550508,0,0,0,0,0,0,0,-6.91951235539477,0,12.6126543208999,6.38026583356873e-06,0.046721922225174,0.0849812873185251,0.0872051259667093,0.0988371263395925,890719.1934,1
"median",0.0226866032613907,55563.9359080961,0.000380420322340042,2.66911308568931,0.632415846001823,0.128384325443767,1,1.59992243042554,1.0905754886119,1,0.518288377439603,4521.78713444155,0,0,2692.97408246581,1963,0,4521.78713448934,4609.1052374852,5011.33224997215,0.00875319096715843,0.361864201497632,0,0,-9999,-5.66715589962224,0,0,0,0,0,0,0,-6.6493534354144,0,12.5065086589237,3.70247643232397e-06,0.0463128025846987,0.0811734345995987,0.0827161130577773,0.0901415060644491,891471.5,1
"2.5%PI",0.00148029893951025,33736.0154258949,8.18334255400002e-05,0.389918801869324,0.505086578365299,0.0104956021055114,1,1.52128183096414,1.01166721378776,1,0.0282583703461569,3767.58806276834,0,0,1222.88914991363,1839,0,3767.58805336057,3770.61437526706,3772.31054627732,-0.00174053750335892,0.319890666765456,0,0,-9999,-7.8557031462477,0,0,0,0,0,0,0,-8.89341093715196,0,10.4110307780468,1.94306677270688e-07,0.026512302990418,0.0423450755367007,0.0425014963422521,0.042479839644662,43007.95,1
"97.5%PI",0.076927163621527,98758.6559602041,0.00063816510891413,10.0085150154911,0.791384757035412,0.196781386130024,1,1.67843199284152,1.16801996690761,1,0.976674624485895,5467.05838721362,0,0,4086.18943788625,2005,0,5467.05101448882,5768.21314958594,7438.99325507274,0.0229488702433767,0.409820555877148,0,0,-9999,-3.74960399620602,0,0,0,0,0,0,0,-6.4198966534236,0,15.4538281859094,3.00986337367045e-05,0.0693411918994279,0.150060707267016,0.158084872573076,0.204774171643735,1738038.425,1
"5%PI",0.00281017979991156,36118.4811709812,9.75346868141545e-05,0.507436601742861,0.510365342643345,0.0197855917154811,1,1.53370703555994,1.02452545433599,1,0.0538250601384789,3887.51134064514,0,0,1395.27543488429,1841,0,3887.51123396081,3898.90532806298,3932.17205884989,-0.000258221191243962,0.326433486492696,0,0,-9999,-7.39033617701937,0,0,0,0,0,0,0,-8.32753149226722,0,10.7912828734787,3.85644432940866e-07,0.0297213985054968,0.0469125060042818,0.0469003835125362,0.0478888986718933,92287.15,1
"95%PI",0.0645009772173362,89852.4049417446,0.000625526785059278,9.24364494252304,0.782587567665614,0.193533718348481,1,1.66660998462023,1.15573439138147,1,0.95430318393046,5311.73126823734,0,0,3932.67401452031,1995,0,5311.7317405858,5545.17263147516,6974.72387290504,0.0205264280732647,0.401068900138459,0,0,-9999,-4.08639904167584,0,0,0,0,0,0,0,-6.42156222519982,0,14.768350058581,2.05781057821392e-05,0.0655216081880322,0.136502896163742,0.143061851259116,0.180016546132004,1693713,1
"min",6.3414522446692e-06,24146.8237019398,6.50895166316301e-05,0.152873919886424,0.500018440675922,1.28417741507292e-05,1,1.45899262136388,0.922828868753715,1,4.52990643680096e-05,2997.09658985958,0,0,338.809401952721,1837,0,2997.09659385543,3051.51870696732,2977.46400383748,-0.012882748511111,0.285216732467585,0,0,-9999,-19.1681938386014,0,0,0,0,0,0,0,-15.60810554195,0,8.98487529004416,7.51628708851737e-12,0.00764368238513529,0.0214693726405927,0.0223104364042897,0.0216807384477594,37,1
"max",0.109831512498204,202066.93255525,0.000650597688948122,11.2119446112215,0.79996506688185,0.199992592632771,1,1.75893676092913,1.26054849669462,1,0.999977281782776,6906.78459254559,0,0,4919.33120871891,2030,0,6906.77216695053,8005.37964536958,12406.2488515557,0.0454789827019981,0.470132706810814,0,0,-9999,-2.562125656536,0,0,0,0,0,0,0,-6.41936514312719,0,25.6139488381247,0.000125290528432068,0.0995370265335086,0.241206982938502,0.263183080966853,0.430337458670042,1782090,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
