"","r_max","K","var_N","z","catch_multiplier_1","premodern_catch_multiplier_1","sample.N.obs","add_CV","sample_premodern_catch","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"187",0.0679979375423864,28776.6302247777,0.0133650667486133,2.39,1.01848279333891,1.63142092886437,14238.8088207226,0,0.121262749191374,858.302831360951,1958,0,14238.8054151076,17137.3863181633,12666.9379025761,22711.2343277511,26976.9888025623,0.067358507074901,0.0503815708568247,0.0358742628549833,0.558521064510667,0,-9999,41.209261381107,0,19.2026245074856,0,60.4118858885926,5.8003114955911e-27,0.0298263842797661,0.494804475155241,0.595531380300651,0.440181418172774,0.789224942265684,0.937461703884083,187,1
"188",0.0126857259371318,68318.5330051705,0.0229399230327015,2.39,1.02141070683245,1.66485618338401,30393.3708466357,0,0.136698015965521,14327.3884143843,1926,0,30393.3708674892,30143.0742759271,29703.5843415529,32694.7738322411,30357.7152519215,0.0135569579887194,0.0124020645531704,0.00673615109831479,0.304180140139631,0,-9999,47.5830512844989,0,72.0948491522905,0,119.677900436789,1.05815243224171e-52,0.20971452085044,0.444877393154636,0.441213722689944,0.434780769360269,0.47856375706672,0.444355490619566,188,1
"189",0.0871435111514293,28356.6056739114,0.0149707517716595,2.39,1.01943456111777,1.67421275689682,13884.6977751236,0,0.564096125308424,420.736898380261,1958,0,13884.7047862798,17708.6732695916,12260.4510750739,24444.5917822281,29256.2859802982,0.0867117399611179,0.0599823920816032,0.0536477641173506,0.549447310395162,0,-9999,41.1031768689272,0,18.2279863256709,0,59.3311631945981,1.70924067681081e-26,0.014837350535482,0.489646220212245,0.624499048766049,0.432366666732391,0.862042236765932,1.03172736246125,189,1
"190",0.061697876686696,40976.6309449169,0.129921269707058,2.39,1.02467476905694,1.77264615588913,13630.5619172053,0,0.451756403781474,494.134126249063,1970,0,13630.5571806509,12268.7577607308,10100.3100991251,20742.7073610426,46225.6043713831,0.135592155844461,0.0592374495689192,0.0583300092602523,0.631269072394926,0,-9999,44.3458581194364,0,42.0026851604025,0,86.3485432798389,3.15721482334996e-38,0.0120589251691606,0.332642212557051,0.299408650194378,0.246489520153634,0.506208218750978,1.12809675430667,190,1
"191",0.0515637094541453,36106.8624248365,0.0550211633708416,2.39,1.01983513633461,1.78495477955022,16865.1687547099,0,0.86637012870051,1579.84384598678,1958,0,16865.1687372481,21938.2333371896,14348.1424919565,24937.1258077371,29020.7619044068,0.0473368414181079,0.0486233875137785,0.0216934635593334,0.465773708044702,0,-9999,41.0657735319443,0,18.7298064179901,0,59.7955799499344,1.07426044631325e-26,0.0437546698851369,0.467090397908603,0.607591794575291,0.397379930804704,0.690647819639511,0.803746433654244,191,1
"192",0.0706594587154686,31913.0263537012,0.032788573209714,2.39,1.01333870338201,1.71680728725449,33655.5933238706,0,0.78890072228387,3077.15837178268,1926,0,33655.5933264593,32943.5973070488,32567.232980011,32476.3043535029,29953.8688457593,0.00090205348346073,-0.0124996490994218,0.00542705094555157,0.28764437302271,0,-9999,55.1099635766133,0,91.4956906198334,0,146.605654196447,2.13783098189442e-64,0.0964232704751237,1.05460362653935,1.03229311259689,1.02049967367742,1.01765041000997,0.938609472939734,192,1
"193",0.0115189346461557,64231.9423356582,0.0252448422826018,2.39,1.02242369359537,1.71599376425818,5998.82288218942,0,0.885584636824206,3161.28045972167,1955,0,5998.82288235895,5971.77425392535,5811.02723112325,5332.16535872497,6806.67275487074,0.0167142649610204,-0.00137351985918688,0.0318516640209176,1.61366416300109,0,-9999,54.6725364809746,0,219.489870377032,0,274.162406858007,8.56602931363198e-120,0.0492166412032459,0.093393141546472,0.0929720328667399,0.0904694303148494,0.0830142319355776,0.105970215244325,193,1
"194",0.0772467602980323,30758.2021730699,0.0190217995046393,2.39,1.01881457831748,1.68842762267147,27662.4006428756,0,0.783108576433733,845.360232906962,1926,0,27662.4023083443,28203.1473812549,26966.220374118,28641.0114206768,30190.3373216157,0.0622637313551242,0.0104066461268262,0.0151430146320519,0.335606082771023,0,-9999,49.252275066985,0,57.8634918837474,0,107.115766950732,3.02143661916755e-47,0.0274840586634517,0.899350428633436,0.916930944876483,0.87671640307144,0.931166628644935,0.981537774923938,194,1
"195",0.00965422351052985,48698.4368428547,0.0841365011166577,2.39,1.01973617711637,1.64971932694284,2477.33700333629,0,0.213268162915483,1572.2256994483,1982,0,2477.33700186102,2399.98044547795,2648.76820018377,1957.03549371522,3299.29459433047,0.0266865049966365,-0.0119470449934972,0.0775990166143915,3.71908972719744,0,-9999,50.8921500418597,0,689.299099334131,0,740.19124937599,3.45845952088873e-322,0.0322849315373658,0.0508709757944625,0.0492824944920196,0.0543912365961787,0.0401868236557652,0.0677494968673633,195,1
"196",0.0700866296589374,29797.712140214,0.0212527187871569,2.39,1.01732450067335,1.68942401890342,11114.5345084369,0,0.355011445702985,576.988220094977,1958,0,11114.5345052791,14288.4477715019,9694.04067613522,21632.6130801825,27177.3544303162,0.0644940377700471,0.0651027962514206,0.0566936981503096,0.685819434906417,0,-9999,40.5262803059767,0,33.1971966824884,0,73.7234769884651,9.60065264808424e-33,0.0193635074189569,0.372999593155988,0.479514927329562,0.325328355093828,0.725982349865975,0.912061781872124,196,1
"197",0.0958955868845806,27544.9447496139,0.0353712119794514,2.39,1.02048863976725,1.73714202156173,21909.6050541848,0,0.230798153672367,493.940971415811,1958,0,21909.6048744482,25386.6892874065,20138.004188484,25970.6402087463,29277.5821851225,0.0894780194411757,0.0302602290298954,0.0256789481360824,0.391718616967114,0,-9999,45.8877652288184,0,34.0789383877649,0,79.9667036165833,1.86595808224209e-35,0.0179321823262228,0.795412917818806,0.92164604133985,0.731096191026713,0.942845972094765,1.06290219317041,197,1
