"","r_max","K","var_N","z","Pmsy","catch_multiplier_1","catch_multiplier_2","catch_parameter","sample.N.obs","add_CV","add_CV_IA","Nmin","YearMin","violate_MVP","N2008","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2008","status2012","status2006","status2019","status2030","draw","save"
"mean",0.0649393929390452,64389.0322366891,0.0251243929148376,2.39,0.600013712685785,1.0186101976126,1.71439017609091,0.502718725279346,14761.0141232935,0,0,1503.7130300194,1951.5285,0,14761.0068875305,20035.3259595778,13658.1544055347,27279.4377132837,32697.5271985562,0.0613218426493676,0.0704786318500581,0.0412565352721458,0.513374942229153,0,-9999,40.570041014891,0,17.1394253391181,0,57.7094663540091,1.71519957541549e-25,0.0310419311449591,0.387211601871137,0.525149886081652,0.353712191192192,0.701622258358436,0.795650409656889,139881.5701,1
"median",0.066559193440713,36906.6499769666,0.02180214587959,2.39,0.600013712685785,1.01871708194503,1.71207938034294,0.505700262961909,14673.6060408875,0,0,634.089710365743,1957,0,14673.6060333153,19924.5295894566,13275.8005674195,26268.5158620699,29725.646807932,0.0602976237641348,0.0695597365483518,0.032599420054333,0.511100389196922,0,-9999,40.3991967370309,0,16.8274237650141,0,57.50209522333,1.06452863135773e-25,0.0152056350467456,0.400151419010327,0.54391348224627,0.343327491069377,0.708549201796552,0.825411307370478,140171,1
"2.5%PI",0.00622271530814469,21993.947083455,0.0100962757496682,2.39,0.600013712685785,1.01300819365095,1.56540761542147,0.0308237853460014,12656.8413639907,0,0,105.048385691745,1918,0,12656.8413359594,17574.5863145153,8014.17786424923,14855.2708749004,11084.8209343908,-0.0204980046051872,0.00705960343787759,0.00640279908106644,0.434472405375795,0,-9999,39.0423254349812,0,16.2270312321533,0,55.6054291362576,2.93731740314669e-27,0.00251258713001751,0.0549269198959864,0.0811001092644052,0.0555606494148214,0.0881614413792054,0.0860460829051508,5787.225,1
"97.5%PI",0.115323975154466,250304.111691594,0.0552007144386327,2.39,0.600013712685785,1.02390467361175,1.8623114853741,0.978414027020335,17147.6499847777,0,0,9836.25487137173,1991.025,0,17147.6498545678,22764.2647594738,21848.5775548035,49363.4423064563,74560.9949392023,0.153053296881655,0.144555862957126,0.122773700115791,0.60000361565833,0,-9999,43.1836647334521,0,19.6952323630625,0,61.0923008348946,7.09363702521219e-25,0.182604357473599,0.679132076418655,0.918989556239279,0.702687147371688,1.33996076959081,1.43791353680755,275816,1
"5%PI",0.0110478104953654,23172.7278346886,0.0111477779585885,2.39,0.600013712685785,1.01412591239305,1.59236044851977,0.0576395992306061,13035.4251773097,0,0,142.448372106563,1925,0,13035.4251705968,17993.2101236019,8618.25812821445,16024.6821904353,14006.0283067151,-0.00718043731516815,0.0179464507468388,0.00776862183256103,0.446412802914932,0,-9999,39.2165701226505,0,16.2454772855695,0,55.8514488955738,6.07363524970011e-27,0.00353336087728014,0.0997446497842392,0.132627697283353,0.093287266743937,0.159480745934817,0.176373644091689,12979.95,1
"95%PI",0.112512985461135,145029.581758988,0.0479559825641107,2.39,0.600013712685785,1.02318225437732,1.84031806814805,0.949228287918959,16692.6986709993,0,0,6686.44339676063,1975,0,16692.6989125345,22242.3443302504,20282.0361441724,42819.305263576,63442.6876437033,0.131781920324492,0.13074405721827,0.104125047566688,0.585981932026583,0,-9999,42.5651462330795,0,19.0467546570111,0,60.3658402101892,5.54656284819575e-25,0.122884511967012,0.640887467227011,0.866234567365743,0.641850099736159,1.21307486446523,1.33008876908349,268436,1
"min",4.06043427065015e-05,16190.5169219412,0.0064596018653962,2.39,0.600013712685785,1.00867752660984,1.45957136517316,0.00015563890337944,11009.9530338775,0,0,6.31715116102924,1848,0,11009.9530338788,15113.6039624724,6104.3613502821,6293.35528220461,3333.75235933846,-0.100393476300136,-0.0599038264354511,0.00140423006830228,0.375605192684741,0,-9999,38.5644842669211,0,16.2012107729375,0,55.1898830370406,7.52489793763372e-30,2.22187793838908e-05,0.000762294381764657,0.00104059306152587,0.00074663184019348,0.001423392768925,0.00199146366899758,189,1
"max",0.117971847320907,19295407.8245645,0.137247189984905,2.39,0.600013712685785,1.03118266224286,1.94240974722027,0.999482647748664,19017.5283994759,0,0,16258.0597255318,2030,0,19017.4872443728,25783.1509727419,36130.5591785313,112591.04842182,236713.90974575,0.245725265695173,0.214084815961498,0.611673039523544,0.693021456604904,0,-9999,49.6049080619126,0,25.3150377155393,0,67.0593355423836,1.07482643724237e-24,0.549300664071593,0.916795788055083,1.2818904015718,1.63594445051425,2.17013827517371,2.51182577972762,282076,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
