"","r_max","K","var_N","z","Pmsy","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_CV_IA","Nmin","YearMin","violate_MVP","N2019","N2012","N2006","N2019","N2030","ROI_IA1","ROI_IA2","q_IA1","q_IA2","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2012","status2006","status2019","status2030","draw","save"
"mean",0.0992256845681874,30705.9837811652,0.0227289570450733,3.22982478950106,0.639678757867948,1,1.69173702200116,1.06811053626407,1,0.942448868271499,8170.96935960758,0,0,91.2479713130842,1915.8401,0,14171.143091391,22569.2795566048,13208.2043834618,14171.143091391,29244.5028304182,0.0122752455442662,0.116488538944884,0.0480747428633947,0.513757540159971,0,-9999,44.1225569507926,0,18.2187614212899,0,62.3413183720825,1.04307786289681e-27,0.00271397030752997,0.554339593423087,0.866838755461461,0.507271905530548,0.554339593423087,1.13862495845107,3267.4113,1
"median",0.102724170112051,25253.1501501111,0.0229903282534588,3.18414599845149,0.637940008938312,1,1.69924611725251,1.06693240283055,1,0.973778577521443,8202.98642914277,0,0,66.6268390209041,1920,0,14476.5457586726,22805.5821872689,13436.5486276417,14476.5457586726,30285.6847492789,0.0114986851984451,0.121875121386281,0.0485947438160857,0.510921774066386,0,-9999,43.8254257779665,0,18.2324237000879,0,62.0578494780544,1.1184547361569e-27,0.0026383575365789,0.573257026256936,0.903078707080375,0.532074158977057,0.573257026256936,1.19928343867015,3378,1
"2.5%PI",0.0266988709685393,25253.1501501111,0.0211765820375241,3.18414599845149,0.637940008938312,1,1.62449693306241,1.06693240283055,1,0.653314348543063,6837.41645391565,0,0,66.6268390209041,1862,0,6837.41700685322,20264.7246558988,11487.076792229,6837.41700685322,14870.167503599,-0.0159943463553318,0.00776385981893868,0.0225721769086236,0.510921774066386,0,-9999,43.8254257779665,0,16.4980689084922,0,62.0578494780544,2.70100984741455e-29,0.0026383575365789,0.0461355501418452,0.1367364634241,0.077509183190073,0.0461355501418452,0.100336626798146,1388,1
"97.5%PI",0.102724170112051,148202.784746933,0.0229903282534588,3.98360131989748,0.668184125516564,1,1.69924611725251,1.09214118087827,1,0.973778577521443,8202.98642914277,0,0,614.688903555466,1920,0,14476.5457586726,22805.5821872689,13436.5486276417,14476.5457586726,30285.6847492789,0.0114986851984451,0.121875121386281,0.0485947438160857,0.561317806011384,0,-9999,49.283273067691,0,18.2324237000879,0,65.7813419761832,1.1184547361569e-27,0.00414762046883999,0.573257026256936,0.903078707080375,0.532074158977057,0.573257026256936,1.19928343867015,3378,1
"5%PI",0.102724170112051,25253.1501501111,0.0211765820375241,3.18414599845149,0.637940008938312,1,1.62449693306241,1.06693240283055,1,0.653314348543063,8202.98642914277,0,0,66.6268390209041,1862,0,14476.5457586726,20264.7246558988,11487.076792229,14476.5457586726,15132.3277292676,0.0114986851984451,0.115296470422925,0.0485947438160857,0.510921774066386,0,-9999,43.8254257779665,0,18.2324237000879,0,62.0578494780544,2.70100984741455e-29,0.0026383575365789,0.573257026256936,0.867477008673655,0.34732169386946,0.573257026256936,0.745065950767722,2515,1
"95%PI",0.102724170112051,25253.1501501111,0.0229903282534588,3.67579610925558,0.657303121266887,1,1.69924611725251,1.06693240283055,1,0.973778577521443,8202.98642914277,0,0,66.6268390209041,1920,0,14476.5457586726,22805.5821872689,13436.5486276417,14476.5457586726,30285.6847492789,0.0114986851984451,0.121875121386281,0.0485947438160857,0.525673028813079,0,-9999,46.3683483973819,0,18.2324237000879,0,65.7813419761832,1.1184547361569e-27,0.0030154431122635,0.573257026256936,0.903078707080375,0.532074158977057,0.573257026256936,1.19928343867015,3378,1
"min",0.0266988709685393,18145.3028000546,0.0106654214831554,2.59499072650489,0.610740779293701,1,1.49616269259732,1.04955511012027,1,0.0146083522122353,6837.41645391565,0,0,25.6608190703585,1851,0,6837.41700685322,16959.8749421684,7054.12144213734,6837.41700685322,14870.167503599,-0.03917719127966,0.00776385981893868,0.00803538116980095,0.432095324882151,0,-9999,43.0407716589863,0,16.4980689084922,0,62.0578494780544,1.43134410555126e-31,0.00131005409762743,0.0461355501418452,0.1367364634241,0.077509183190073,0.0461355501418452,0.100336626798146,1388,1
"max",0.107981242423411,148202.784746933,0.0457718595884991,4.24351179552967,0.676735004270449,1,1.69924611725251,1.14035629936885,1,0.973778577521443,9826.44501700997,0,0,614.688903555466,1920,0,17462.577420562,23130.2307956449,17245.180533833,17462.577420562,30285.6847492789,0.10492994033946,0.121875121386281,0.0833052972377619,0.616673173444326,0,-9999,53.2568512809373,0,27.1749425466014,0,71.021523946053,1.1184547361569e-27,0.00414762046883999,0.862854434780085,1.07313489800968,0.8000959963105,0.862854434780085,1.24885458183315,3378,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
