"","r_max","K","var_N","z","Pmsy","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0105686028698698,65400.7898735975,9.7810404843917e-05,4.28536085729061,0.65013336547104,1,1.60021246183091,1.09015592940322,1,0.499109053868405,4653.61468734007,0,0,2379.59507673728,1896.18785,0,4653.61470314564,4756.11121232249,5257.09962890883,0.0103353122009168,0.359419982621956,0,0,-9999,6.14292974549171,0,6.90711802942396,0,13.0500477749157,3.10174521262357e-06,0.0355778886837704,0.0753347247252079,0.0771438894657492,0.0860213180455544,2126940.7786,1
"median",0.00974436717457138,63720.5459258278,9.77873218770136e-05,3.48096444392575,0.649944564467296,1,1.60005254747851,1.09004266655746,1,0.50018313236069,4625.09857356781,0,0,2406.66963958546,1851,0,4625.09857491501,4717.11933967231,5146.13955932993,0.00971725668373758,0.358644026086675,0,0,-9999,6.02779816570018,0,6.64173024283598,0,12.8385953382365,2.65624964822918e-06,0.0356038977682557,0.0727723878659089,0.0742769388811957,0.0809467649045719,2132288,1
"2.5%PI",0.000679256728035398,42266.7377705507,6.66962386571079e-05,1.07373761669744,0.50698981084337,1,1.52128225144607,1.01117822590859,1,0.0262434682575986,3957.91894281865,0,0,598.892361862989,1839,0,3957.91894248083,3978.30526454939,4057.68560849798,-0.000166256037693077,0.320022865227838,0,0,-9999,5.01391791021216,0,6.41977224869389,0,11.6343781011544,1.55597049949308e-07,0.0128480982224535,0.0436196532631247,0.0437754044098369,0.0444315015602034,106814.85,1
"97.5%PI",0.0252773580011562,98080.9611820692,0.000128618760469882,10.4869556560376,0.792323438951862,1,1.67840010468796,1.1695619913643,1,0.974641586624784,5501.67201501433,0,0,4135.47997241032,1993,0,5501.67197196187,5745.64061683536,7097.395956685,0.024559564214331,0.402486443500687,0,0,-9999,8.12827477207093,0,8.85945561856817,0,15.6759961867786,8.85632999319439e-06,0.0623794220740116,0.121816942470278,0.12743835115618,0.156581990948741,4144841.5,1
"5%PI",0.0012977236880688,44544.454028687,6.83756260758515e-05,1.15593588676917,0.514486447428353,1,1.53410140276691,1.02415148242249,1,0.0496364242746495,4053.21551522008,0,0,757.988391945439,1839,0,4053.21551515849,4083.69545075332,4188.10377586883,0.00104063444942768,0.325920462549271,0,0,-9999,5.16469396394943,0,6.4210722514077,0,11.7980658226182,3.01169570671394e-07,0.0151384659699387,0.0469340547170638,0.047242986076742,0.0486395671315389,211458.05,1
"95%PI",0.0225790497337002,91830.1484550728,0.000127092959109552,9.80961159230861,0.784535381115274,1,1.66583793497108,1.15615921800492,1,0.949854011042043,5346.83436475461,0,0,3983.54431520557,1979,0,5346.83428803248,5565.05672090119,6720.71107606378,0.0219647105271531,0.395208989496362,0,0,-9999,7.5250157613424,0,8.2764609226148,0,15.0155923735312,7.51908710899565e-06,0.0583033330325889,0.112985850117408,0.117641694992593,0.141295179157844,4039228.8,1
"min",2.82032415270805e-07,32488.4713028178,6.50629260233189e-05,1.0003761863165,0.500036462396383,1,1.44721239381202,0.924175276753306,1,5.11948019266129e-06,3486.48868512828,0,0,132.327029284405,1837,0,3486.48863965307,3432.98366397465,3389.18368716983,-0.00595583690025547,0.287544657384156,0,0,-9999,4.13652469305554,0,6.41936514312839,0,10.8120001853526,4.80000485244375e-10,0.00407304572908385,0.0237159375472016,0.0235916320597021,0.0250768719250534,253,1
"max",0.0420280793611892,161890.751615934,0.000130108514103609,11.2134993701204,0.799977041617967,1,1.76022070013038,1.26675295605322,1,0.999989811796695,6630.96165105235,0,0,4990.97030732823,2030,0,6630.98473068801,6976.5568033243,9604.61678532952,0.0419484265746624,0.448369532116668,0,0,-9999,14.6721717182765,0,14.4090062439085,0,21.4572340011013,2.0156168541011e-05,0.084552401309332,0.172487250862698,0.187882769312242,0.282261313062837,4252146,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
