"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.012","0.011","0.001","0.006","0.016","0.029","18,698"
"2","$K$","65,114","62,558","40,448","52,957","74,398","104,287","18,698"
"3","$z$","4.256","3.491","1.072","1.955","6.082","10.525","18,697"
"4","$Pmsy$","0.649","0.65","0.507","0.575","0.725","0.793","18,697"
"5","$sigma$","0.0188081649214891","0.0196139910179185","0.00907009305697809","0.0152924821343054","0.0228875702170266","0.0252558565024101","18,698"
"6","$N_{min}$"," 2,166"," 2,115","   490"," 1,255"," 3,049","  4,010","18,698"
"7","$N_{2019}$"," 4,607"," 4,575"," 3,821"," 4,300"," 4,889","  5,569","18,698"
"8","$N_{2021}$"," 4,720"," 4,677"," 3,826"," 4,360"," 5,036","  5,852","18,698"
"9","$N_{2030}$"," 5,274"," 5,144"," 3,869"," 4,629"," 5,781","  7,408","18,698"
"10","Max depletion","0.033","0.032","0.011","0.022","0.042","0.062","18,698"
"11","Depletion in 2019","0.076","0.073","0.04","0.06","0.089","0.126","18,698"
"12","Depletion in 2021","0.078","0.075","0.04","0.061","0.092","0.133","18,698"
"13","Depletion in 2030","0.088","0.082","0.041","0.064","0.105","0.167","18,698"
"14","$q_{flt1}$","0.546","0.389","0.073","0.214","0.678","1.955","18,698"
"15","$eta_{q_{flt1}}$","-0.007","-0.008","-0.201","-0.075","0.062","0.19","18,698"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.572","0.383","0.063","0.205","0.705","2.204",NA
