"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs1","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.056246803342412,63625.8239759891,0.000368221720139036,0.97914999099599,0.69884746387372,0.0659900568907945,1,1.59992955129351,1.08984037687279,1,0.487691299483541,4280.21226424377,0,0,3586.83122492534,1980.4574,0,4280.21224829875,4294.16135760657,4358.03823335583,0.00263865960210855,0.362076925979728,0,0,-9999,-5.72698729578249,0,0,0,0,0,0,0,-6.93196111310178,0,12.6589484088843,5.73227405227701e-06,0.0594818602293612,0.0719343606715528,0.0722335648576424,0.0736214292794819,491008.88795,1
"median",0.0571237589977682,59933.0249510302,0.000372868547104418,1,0.698411762737669,0.0471094318354762,1,1.60045072933432,1.08958462004168,1,0.483164063072763,4266.08456332469,0,0,3618.42319709896,1980,0,4266.08456289158,4277.83744418766,4325.31128822797,0.00263124386447799,0.361220291690778,0,0,-9999,-5.72590630021072,0,0,0,0,0,0,0,-6.64909716133976,0,12.5649821367209,3.49218782462599e-06,0.0592748546364251,0.0706542439921432,0.0706556698148437,0.0710087672683231,493643,1
"2.5%PI",0.0027619684394449,40474.4594338684,8.23630388655665e-05,1,0.604589706717525,0.00194297612723951,1,1.52179449696763,1.0113303005312,1,0.0234255172021221,3613.3510882879,0,0,2648.23247824773,1844,0,3613.35107974497,3567.06585932767,3369.59496730369,-0.00659593143876827,0.319203401423443,0,0,-9999,-7.6213311561234,0,0,0,0,0,0,0,-9.0048043417402,0,10.5787704096079,2.18972300832837e-07,0.0338593625101672,0.0389042874928571,0.0387224584776536,0.0377494961740281,24417.6,1
"97.5%PI",0.107578290363832,106103.538861474,0.000636788525696896,1,0.794646673502866,0.250217990261053,1,1.67731418168433,1.16835348756023,1,0.971544856822584,5034.84278629825,0,0,4354.06833519904,2030,0,5034.84266782852,5126.16949462493,5513.04436410063,0.0117556747115474,0.409551008951808,0,0,-9999,-3.87574332520759,0,0,0,0,0,0,0,-6.41985014443284,0,15.3343205953664,2.54506211239885e-05,0.0868915796928909,0.112024695378712,0.114134575463043,0.123230521246962,954058.25,1
"5%PI",0.00542438465589658,42484.7604242079,9.85557487590607e-05,1,0.609141424554401,0.00382800212728733,1,1.53352257702281,1.02364820321326,1,0.0455028888885863,3710.35146118491,0,0,2814.45079813034,1857.95,0,3710.35148661164,3676.74406326917,3530.04173406136,-0.00484785302069999,0.325928215023067,0,0,-9999,-7.25622261379905,0,0,0,0,0,0,0,-8.4024195171936,0,10.8914676793094,3.98764306289364e-07,0.0373126594466821,0.042820535077127,0.0425758258802434,0.0418864369422835,49499.05,1
"95%PI",0.105111068773666,96581.2031994763,0.000624998269110563,1,0.789267556990962,0.190012740664447,1,1.66470575946134,1.15584260133861,1,0.945299179456197,4898.53650691686,0,0,4248.01892963153,2030,0,4898.5363815093,4966.31071348669,5294.31902766724,0.01030439913303,0.401503962892744,0,0,-9999,-4.18473699800212,0,0,0,0,0,0,0,-6.42129155995682,0,14.7348953168626,1.86163997529694e-05,0.0824121014211183,0.105702680481613,0.107172507943303,0.113826100132643,930041.95,1
"min",8.51245131343603e-07,31729.9395820126,6.50810117820938e-05,-3.03889788830659e-05,0.600006293645129,1.07932841968545e-05,1,1.43944897593018,0.915678494514728,1,3.38519457727671e-05,3002.86058662459,0,0,1728.86541337695,1836,0,3002.86058662466,2898.09500276128,2441.29783280096,-0.019812941803767,0.283458177774973,0,0,-9999,-10.9635348993516,0,0,0,0,0,0,0,-16.4875388315158,0,9.12418518854705,2.89565597465787e-10,0.0156804091810463,0.0192164006829445,0.0197548381895578,0.0194308103595671,10,1
"max",0.109999522885773,203192.765940089,0.000650573931865735,1,0.799978558812291,0.638393545477616,1,1.76916710460333,1.2434719502298,1,0.999985743314028,5949.48123982176,0,0,5041.45663071032,2030,0,5949.48114385128,6360.01572663013,7228.113998062,0.0244870029732258,0.481873358666076,0,0,-9999,-2.68422430153682,0,0,0,0,0,0,0,-6.41936514314651,0,21.9626392557546,0.000108997546131123,0.115136225967335,0.160674333913066,0.165248375313031,0.186828276392302,979079,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
