"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.018","0.015","0.001","0.008","0.024","0.048","9,404"
"2","$K$","68,455","58,680","31,129","46,340","77,117","165,014","9,404"
"3","$z$","4.302","3.515","1.073","1.967","6.159","10.512","9,404"
"4","$Pmsy$","0.651","0.651","0.507","0.575","0.726","0.793","9,404"
"5","$sigma^2$","0.004","0.004","0","0.002","0.005","0.006","9,404"
"6","$N_{min}$"," 1,375"," 1,143","   179","   581"," 2,007","  3,543","9,404"
"7","$N_{2019}$"," 4,304"," 4,291"," 3,157"," 3,866"," 4,700","  5,606","9,389"
"8","$N_{2021}$"," 4,469"," 4,434"," 3,075"," 3,947"," 4,938","  6,132","9,404"
"9","$N_{2030}$"," 5,340"," 5,107"," 2,922"," 4,273"," 6,127","  9,181","9,404"
"10","Max depletion","0.021","0.017","0.004","0.01","0.029","0.058","9,404"
"11","Depletion in 2019","0.076","0.073","0.024","0.053","0.095","0.151","9,389"
"12","Depletion in 2021","0.08","0.075","0.024","0.054","0.099","0.166","9,404"
"13","Depletion in 2030","0.097","0.086","0.024","0.059","0.122","0.24","9,404"
