"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0115278269475659,65151.1723229951,0.000373630767188694,4.24045425530905,0.6486552624346,0,1,1.60025538325006,1.09004426998469,1,0.497336513932608,4600.27879070419,0,0,2172.16035522662,1895.01145,0,4600.27884381278,4712.35432635688,5257.10304652124,0.0108733887564257,0.362141260733752,0,0,-9999,5.72148277796775,0,6.91492298759938,0,12.6364057655671,6.08635404288088e-06,0.0327285274287313,0.0756721970068217,0.0776899516590799,0.0875609304854633,1819499.91525,1
"median",0.0106587915751152,62586.7951603505,0.000382538910039189,3.44470011675921,0.648531267116778,0,1,1.60005200343828,1.0900157295073,1,0.500876081292517,4574.03387870873,0,0,2128.88735439203,1851,0,4574.03385307167,4678.03413896297,5145.16172606609,0.0103395233489024,0.361414205467165,0,0,-9999,5.66214808927109,0,6.64333681428208,0,12.5032623270923,3.7145154202969e-06,0.0316764886781784,0.0730780315241857,0.0746750176227566,0.081845130451845,1815971.5,1
"2.5%PI",0.000713915665808599,40342.612851666,8.1941239443132e-05,1.07567561857683,0.507170071220026,0,1,1.5221627246604,1.01279943639681,1,0.0230552620545496,3833.74572312459,0,0,502.401705841518,1839,0,3833.7457225854,3835.73982029674,3859.03072523527,-0.000985015247697601,0.32028935959762,0,0,-9999,3.8452925143625,0,6.41987986074445,0,10.4885560435342,1.63144719267431e-07,0.0108162689205863,0.0403268338713715,0.0404977560594582,0.041256270516336,90871.375,1
"97.5%PI",0.0278908431174349,105212.579803923,0.000638575324482145,10.5109648408724,0.792587394161383,0,1,1.67846512610257,1.16813737977306,1,0.973849746823544,5521.61833808932,0,0,4004.96414444032,1999,0,5521.61833818814,5802.78030722818,7272.61831816797,0.0253366016926574,0.408772337796681,0,0,-9999,8.05927894321826,0,8.90536039262999,0,15.6286282229371,2.78533853191172e-05,0.0620224909718245,0.124915369772217,0.131347233684146,0.163833332966745,3561854.125,1
"5%PI",0.00137842869153246,42728.9748669337,9.89535937198785e-05,1.1540559465772,0.514318355041324,0,1,1.53495200320901,1.02431631383704,1,0.0471907202154398,3945.28678638977,0,0,618.781462392306,1839,0,3945.28678638738,3964.68654233998,4030.47230623997,0.000586047203018292,0.326296373430749,0,0,-9999,4.11475722709366,0,6.42144537452747,0,10.8132640932558,3.3192572950127e-07,0.0127924241047051,0.0444764944698193,0.0448024461442594,0.0459463223927187,178478.7,1
"95%PI",0.0248530878035817,95765.5280789485,0.00062480235887968,9.81669539105473,0.78462040882092,0,1,1.66614289073973,1.15560896613067,1,0.947366890963167,5349.92040899233,0,0,3827.26805653675,1987,0,5349.92039376817,5600.86918067296,6878.76492383235,0.0227139635174449,0.400878350792964,0,0,-9999,7.54303054381773,0,8.30813005572491,0,14.9183546074693,2.01307091017654e-05,0.057041424711626,0.115941416861465,0.121294258478029,0.148108018513936,3468083.15,1
"min",1.44647900015116e-06,29874.3227723324,6.50843883367395e-05,1.00021877242331,0.500021172547713,0,1,1.44967697054633,0.911125187333834,1,5.26262447237968e-05,3073.7293530954,0,0,175.872785423948,1837,0,3073.72935309547,3218.71969242501,2957.58985916942,-0.0121334722613433,0.27850460666951,0,0,-9999,2.27727325306974,0,6.41936514451072,0,9.44169418793006,2.86366648171247e-10,0.00396906043722283,0.0216857078940538,0.0222692728727143,0.0232020193435754,176,1
"max",0.0516045389394276,188486.547297085,0.000650590370466677,11.2109387866149,0.799951226753183,0,1,1.7613085517901,1.24386287835234,1,0.999960851855576,6893.50318617653,0,0,4908.25904938462,2030,0,6893.5034636456,7917.18381550267,12144.4997293774,0.0420407843241175,0.469071298923383,0,0,-9999,13.3811672220262,0,16.4365952717659,0,21.9737481395391,7.93458678025505e-05,0.108734153703447,0.184224286576216,0.205595358397704,0.323690996268715,3655113,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
