"","r_max","K","var_N","z","Pmsy","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA1","ROI_Count1","q_Count1","NLL.IAs","NLL.Count","NLL.N","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0399728736706749,46459.0719917132,0.0166654506504888,2.38982843977125,0.6,1,1.48898918281225,1.01969688911558,1,0.28783006423919,6117.45262258992,0,0.254570053715302,292.4148096942,1878.4259,0,6120.65987879397,6691.63743570187,11299.9534692804,0.032791236323114,0.520777533511952,0,-9999,139.913149621471,0,0,0,139.913149621471,1.31761332253798e-60,0.00731329791620504,0.180647084639931,0.19929293741501,0.333480333088731,28828.0934,1
"median",0.0360084572201595,30292.0970168949,0.0173940331985063,2.38982843977125,0.6,1,1.48464179696823,1.02058488254996,1,0.257520450279117,6425.33802117687,0,0.247501015035445,340.838547261729,1843,0,6425.20345763599,7253.35746265763,13072.1278359952,0.0276271358038889,0.450242904845717,0,-9999,138.962422201929,0,0,0,138.962422201929,4.46053391481169e-61,0.00549283609315467,0.165262405175809,0.186563321734833,0.43153591607423,29267,1
"2.5%PI",0.0192909444426186,25907.8188231853,0.00837475330060944,2.38982843977125,0.6,1,1.43363155808794,1.01337033948375,1,0.0311118850950152,2378.44771584496,0,0.205688022684369,65.8987209412622,1843,0,2378.44764712698,2515.44435201117,3018.42776067356,0.0247143628277073,0.297636702876724,0,-9999,135.610724314741,0,0,0,135.610724314741,5.96220487986877e-64,0.00144489872335054,0.0294134861959609,0.0269592680928995,0.0359039089777433,2203,1
"97.5%PI",0.076747871672269,118202.657872511,0.0277931566433062,2.38982843977125,0.6,1,1.52187166387551,1.02295722683189,1,0.911297099897638,8928.12079980504,0,0.320834447492293,649.267825468942,1965,0,8943.76868273367,10326.0143173929,16926.0786471489,0.0542611254110983,1.03627222258152,0,-9999,145.580005592668,0,0,0,145.580005592668,1.27353458423408e-59,0.0112517316668976,0.251617252331913,0.273923008674496,0.435355002509434,48764,1
"5%PI",0.0192909444426186,25907.8188231853,0.00837475330060944,2.38982843977125,0.6,1,1.43363155808794,1.01337033948375,1,0.0311118850950152,3010.31741099432,0,0.205688022684369,77.9932529019557,1843,0,3010.32296417853,3046.61700428472,3458.92135552563,0.0247143628277073,0.309304973801462,0,-9999,135.610724314741,0,0,0,135.610724314741,2.13972619215426e-63,0.00260994355559694,0.0294134861959609,0.0269592680928995,0.0359039089777433,7127,1
"95%PI",0.0673926725424826,118202.657872511,0.0250314514351474,2.38982843977125,0.6,1,1.51242577724687,1.02253178604013,1,0.824947363231331,7622.01400347985,0,0.305000468068077,649.267825468942,1964,0,7622.01421876283,8291.11798653491,16926.0786471489,0.0475167482204049,1.03627222258152,0,-9999,144.302182985369,0,0,0,144.302182985369,1.27353458423408e-59,0.0112517316668976,0.251617252331913,0.27370564612647,0.435355002509434,48764,1
"min",0.00161951492773369,17611.6906425335,0.00754937511255566,2.38982843977125,0.6,1,1.39323343467878,1.01120051857516,1,0.00066607422195375,1313.19692844991,0,0.205688022684369,16.058383647066,1839,0,1313.19692844852,1309.75273144908,691.763662638241,-0.0170344733269887,0.153382100970216,0,-9999,135.610724314741,0,0,0,135.610724314741,1.66040376552011e-68,2.79350099704804e-05,0.00269429336075692,0.00224090651177635,0.00241792296796186,107,1
"max",0.103336237054318,1240508.71818483,0.0589026666426628,2.38982843977125,0.6,1,1.58519117477871,1.02641634241621,1,0.997889540623873,9835.59657984879,0,0.45965893717708,2845.00401123437,2026,0,9841.31153240834,16660.9862820692,49195.8361855943,0.084145123624634,1.4689941445503,0,-9999,156.068725518562,0,0,0,156.068725518562,1.27353458423408e-59,0.0516489751213323,0.487746187758977,0.644630550516919,1.13293956437862,48764,1
"n",10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
